Transliterated_Comment,sarcasm_label
Arre kahe ka chacha nehru face_with_symbols_on_mouth,sarcastic
Chood gai chood gai face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Congress ne tu nhi diya but bjp ne jaroor diya hoga face_with_tears_of_joy face_with_tears_of_joy,sarcastic
5 star dr ki ma ki chu skull,non-sarcastic
Pappu chuna lagaya inko face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
India red_heart pleading_face please stop we are all brothers,non-sarcastic
Guys pura comment section dekh liya ek bhi chuslim nhi dikha proud to be chuslim bolne wala face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
what an anchor amazing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
na ki gali di utneee meee inkooo dafan kardeta bad m chahe jo ho,non-sarcastic
Sarkar bane he nhi to kha se de ge clapping_hands raising_hands,sarcastic
Hindu rashtra raising_hands raising_hands red_heart red_heart,non-sarcastic
bt koi nhi samjha na smjega ye un logo ke liye jo hindu he ye jante fir bhi hinduo ke khilaf he or congress ko support krte he zee thu he dhogle hinduo pe,non-sarcastic
"aapni galti man k mafi mang leta , kuch bigad thori jata bhai grimacing_face",sarcastic
"aab uski ankhe fut gai, jaban tut gai",non-sarcastic
tu tya shbrichi aulad ahe rand,non-sarcastic
अव रांड कुठली भेन्चोद आहे तू इकडे जालन्यात ये तुला 150द्याला लावतो माज्या मित्रा face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Agar bhai ne ek thappad maar diya to inhe sympathy chahiye fir,sarcastic
jyada nahi . bas roti kapda or makan se vanchit kar do and hasne do aallah ke nam pe,sarcastic
smiling_face_with_tear വൈഫൈ ഉള്ളവർക് ഇത് ഒരു കളി തമാശയാണ് confounded_face 100 റിയൽ റീചാർജ് ചെയ്യുന്ന എന്നെപോലെയുള്ള പാവപെട്ടവർക് ഇത് ഒരു പോരാട്ടം ആണ് പോരാട്ടം face_holding_back_tears face_holding_back_tears face_holding_back_tears,non-sarcastic
"Time travel slowly near heavy objects, but idk what is heavy here? face_with_tears_of_joy rolling_on_the_floor_laughing",non-sarcastic
jo ram ko kalpanik bole vo kya tarak vitarak kare ga,sarcastic
rahul ek sansad he kuch nahi karpayega,non-sarcastic
Modiji ne paw paw ko jail mai dal diya loudly_crying_face loudly_crying_face clown_face,non-sarcastic
angry_face angry_face angry_face angry_face crossed_swords crossed_swords crossed_swords crossed_swords crossed_swords right-facing_fist right-facing_fist right-facing_fist right-facing_fist right-facing_fist,non-sarcastic
Ye Lucknow toh Delhi Mumbai Banta ja Raha dheere dheere.. face_with_tears_of_joy,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing enraged_face enraged_face,non-sarcastic
Elvish bhaaaaiii cross_mark Aaaaiiiiii record Tod denge check_mark_button,non-sarcastic
tari maa de lan face_with_raised_eyebrow enraged_face,non-sarcastic
newton ko biriyani khilaya tha shayad.. gravity hi mita diya bhai ne didi ke liye,sarcastic
hee baaee hindu asoona hindu laa virodha karanaaree asalee randee aahe...,sarcastic
You can't do anything other than speaking,sarcastic
hichee laayakee aahe kaa .... ushtee bor kuth .... aani hine khalele l .....de kutha face_with_tears_of_joy,non-sarcastic
cancer he salee face_with_tears_of_joy hanikarak ho tum sab face_with_tears_of_joy,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
are tujhyaa aaeelaa jhavala kutra skull aaee ghalyaa enraged_face,non-sarcastic
इस कांग्रेस ने मुस्लिम बहनों को पागल बना के लाइन में लगा दिया। खटाखट खटाखट face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
This is real behen c**d face_with_tears_of_joy,non-sarcastic
Are iski maa kothe ki maharani h wha jyada condoms use hote h ab isko kha pta chalega ki bhagwan or insaan me kitna fark h isne to bachpan se condom hi dekhe hai...ghar me condom road pr condom iski saree me condom condom hi condom dekhe h isne face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Kuch heart touching video nhi h bakwas lag rha h face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy fire fire fire fire check_mark_button red_heart red_heart,non-sarcastic
kya rahul gandi sahi me jeet gaye?,non-sarcastic
bat say hi malum pad rahahi kitni achi aurat hi,non-sarcastic
brooo ye submit patra galat boll raha hai,non-sarcastic
हिला अफजल च्या धोत्रात घाला रे rolling_on_the_floor_laughing face_with_tears_of_joy,non-sarcastic
aura ye sanbidhaana kee duhaaee dene baale loga hai jo sanbidhaana kaa phaisalaa hee maanane qo taiyaara nahee hai enraged_face enraged_face,sarcastic
aacha ab tu a hi gya hindu muslim karne or uske turefi par nazar teri chal nikl tu,non-sarcastic
nala na sy bull. green .red,non-sarcastic
EK debate toh Sudhanshu Trivedi Ji Or German Shepherd ka bhi chahiye face_with_tears_of_joy,non-sarcastic
