Transliterated_Comment,sarcasm_label
dalabhadree baaee aahe moolaata hee naastika aahe tyaamule hilaa tyaacha mahatva samajanaara naahee hyaanchee aukaata hyaa nivadanookeeta daakhavoona dilee paahije... enraged_face enraged_face enraged_face itihaasa maaheeta nasela naa tara boloo naye dalabhadree baaee,sarcastic
jaise ye gali de rahi rakh k kan k niche mar thapppad ki pant me tatti kr de,sarcastic
to teri 36 avlade bhi kuch nhi ukhad sakti,sarcastic
ye movie popcorn ka name kya hi plzz ptao,non-sarcastic
dhruv rathi nera land hai mchod enraged_face,non-sarcastic
Up walo se achha to hm Bihar Wale hain 40 me se 34 diye grinning_face,sarcastic
cross_mark cross_mark cross_mark skull skull check_mark_button rolling_on_the_floor_laughing,non-sarcastic
100 cr lekar gand me dala tha fake news failane ko gaddar tihadi,sarcastic
yai chinnar sale ko jinda hi nhi rahna chiye,non-sarcastic
fire fire fire Jay shree Ram,non-sarcastic
bolnari hi ekti nahiye he aplya sobat rahun aplya ch devana shivya detat nuslim peksha jast ghatak jhalet,non-sarcastic
subse gande log to vho hai jo tuje vote de rhe hai,non-sarcastic
Aditing video cross_mark real video check_mark_button face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Ham in news channel madrachodon ko kyon dekh rahe Hain Instagram face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
ya banda santan dharm bhut kuch bolta hai ya rog number hai cross_mark enraged_face enraged_face enraged_face,non-sarcastic
dekho bhai logo ye open ni krna h ye log kabja karege bache peda krke,non-sarcastic
"Election is done, you can delete this video now!! pinched_fingers_light_skin_tone",sarcastic
Allll mullea left comment section face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing,non-sarcastic
Bike crash cross_mark_button ven crash check_mark_button,non-sarcastic
tere ma ki chut sale namrd gandu katve fire,non-sarcastic
"Tumah , road p vote mangte bhir he acchi lagti h kia ,",sarcastic
Act is not required anymore in current India,non-sarcastic
Meri galati he mein Instagram chala rha hu slightly_smiling_face,non-sarcastic
bike wale ke kitne bap heh backhand_index_pointing_right,non-sarcastic
crossed_swords triangular_flag Jay Shree Ram triangular_flag crossed_swords,non-sarcastic
clapping_hands clapping_hands clapping_hands clapping_hands rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing jay shree ram ji triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy फटाफट फटाफट अब च** मरवा लो,sarcastic
Yeh thoda sa bk h kya? face_with_tears_of_joy,non-sarcastic
tuzya aicha puchha rahul gandhi ni chatla,sarcastic
hindoo aura muslima ke beecha aaga lagaane vaalaa bhaadavaa|,sarcastic
aabe dhakkan yhi atke raho bs,sarcastic
modii ka bhii Dekh le.loruu face_with_tears_of_joy,sarcastic
Gravity cross_mark this Newton law face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Ghar pe jakar dekho JCB aa raha hai face_with_tears_of_joy YOGI JI SUPREMACY fire,sarcastic
yaha loga paidaa karate jaaenge aura hamaaraa taiksa kaa paisaa aise hee baanta diyaa jaaegaa chanda voto ke khaatira,sarcastic
aab koi iski sr kalam krne ki bat nhi karega ...,non-sarcastic
kisko kisko lagta he bike wale ki galti hai wo like kare,non-sarcastic
Nowadays Waqfs are doing total scams.,non-sarcastic
3rd term.... Wait for it check_mark_button triangular_flag,non-sarcastic
sagale hyaa baaee saarakhyaa raanda nasataata..,non-sarcastic
bheekha maanga ko bheekha bheekha maangane kaama chaaloo kara do,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy cross_mark cross_mark,non-sarcastic
bas 4 june ka wait fir ye sab band,sarcastic
Mountain dew. Bayam vadhulu gechichudu rolling_on_the_floor_laughing fire,non-sarcastic
ye madrchod pan hai khao jise desh ki wahi desh ki izzat kharab kare ho bhosdi walo ind passport p jate ho tum log aamerica canada or eend k bezzati kare ho,non-sarcastic
Abolish this act or make same body for hindus…,non-sarcastic
Mountain dew dar ki maa ki chut* face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
tum logon ko koi aur news nahin milta hai bus sabko atankwadi yah bolo sabse bade atankwad to tum hi logon,sarcastic
yah dewandi hai dosto inki bato par na ao,non-sarcastic
