Transliterated_Comment,sarcasm_label
eenka sath asa hi hona chaiya tha,sarcastic
jo sanaatana kaa naheen vo desha kaa naheen,non-sarcastic
Paisha to nhi h La#da lelo rolling_on_the_floor_laughing face_with_tears_of_joy,non-sarcastic
Muslim ka matalab www.porn.muslim hub face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Saja milna chahiye inko enraged_face enraged_face enraged_face enraged_face,non-sarcastic
"aisi padhi likhi jahilon ne hi ladies welfare laws ki dhajjiyan uda rakhi hain , lady hone ka najayz dabav bnati hain",non-sarcastic
Sarkar bani kha h godi media face_with_tears_of_joy,sarcastic
Abe tu chal be face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
इसलिए हमारे राजस्थान कांग्रेस सरकार फटाफट गई face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
tum logo ne humara ram mandir todake babari mandir banaya tha isliye humane bhi vohi kiya jo salo pehle tum logo ne kiya tha so thoda apni had me rehke bola kro okat se bahar jaoge to kahi hindu log na tumhe tod de,non-sarcastic
Bolo smiling_face Jai shree ram red_heart red_heart face_with_tears_of_joy,non-sarcastic
"For Example - Dalle, Madharch....d, Ch...kke face_with_tears_of_joy",non-sarcastic
Sarkar bana to nhi hai yrrr face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Atleast bjp ne jhut nhi bola kise ko face_with_tears_of_joy,sarcastic
Le cameraman with Old Monk skull,non-sarcastic
Jay shree ram triangular_flag triangular_flag triangular_flag,non-sarcastic
aare yeeh to muda hei sab party ka neta jail jate hei lekin bjp kaa nenhi,non-sarcastic
Lay khaj hoti aaighalya tula ..mar ata face_with_tears_of_joy,non-sarcastic
nehru k ma ka bho*da check_mark_button,sarcastic
aur sun hindu nuslim nhi krte hme bs itna pata hai hm indian hai aur mujhe aisi government chahiye jo desh ke hit ke bare me soche na ki hindu nuslim kre aur bat rahi nuslim ki to is time bjp nuslim sansad ke kandhe par tike hai face_with_tears_of_joy,sarcastic
Delhi ki ladkiyaan yun hi badnaam hai face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Jadhavpur is Famous for Anti-Hindu Sentiments,non-sarcastic
ye bhi koi bolne ki bat he,sarcastic
aurata hai isalie saamane vaalaa lihaaja kara rahaa hai varanaa eka thappa.da men peshaaba kara detaa hai ise,non-sarcastic
truck wale ki glti h upr nahi chdaya,non-sarcastic
jaya shree raama triangular_flag triangular_flag triangular_flag,non-sarcastic
samajh nhi ata punjabi balidan bhi diye itna or itna ulta kaise kaise kar dete hai,non-sarcastic
Pr hmre aligarh se to bjp jiti h red_heart,non-sarcastic
Instagram ko to chain se jine do face_with_tears_of_joy,non-sarcastic
bhai galti t teri hai....bkl ....chappri rider,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing bhen ban gyi bhai ki bahu rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
kha he jao pura ka pura bharat ko adha to kha he gye ho. bus moka dekh kr baithe hai sab kb bharat khatam ho ab bacha he kya ho kichri pakk gai hai bharat mei to neutral_face neutral_face,sarcastic
bhaaee hama bhee up se hai sabhi log nahi lekin jyaadaatara loga hijdhe hain,non-sarcastic
Are Sarkar Bani nahin inko Paisa chahie bahan chod ko rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
