Transliterated_Comment,sarcasm_label
hata do ... sub ka ek he law hona chaiye .... phele religion jat pat hota tha ... eeseliye aise kuch law lana phadta tha,non-sarcastic
Rahul gandhi ko bharat ne haraya sata sat sata sat face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Drive rathe not getting any good stories,non-sarcastic
Chudva Chudva Ke Ab Vote Maangegi..... face_with_tears_of_joy Mja To Aayega,sarcastic
tulaa seetaa red_heart chee sara naahee..... bheekaaratonde,sarcastic
garva se kaho up ke loga hija.de hai|,sarcastic
=do nothing dar ki ma ki **** check_mark_button,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
are madam congress ka sarkar prime minister banega tab to dega na kaise dega ghar chala kar dega kya tum log to sale diye nahin congress ko vote bhejo bol raha hai na vah chutiya hai,sarcastic
aaur me bhi aapni aaulad ko bataunga ki kese kasmiri hindu ko apne gar bhag jane ko bola tha ki kese giraja tikku 16 logo rap kiya tha na hum bhule nahi hum kisi ko bhulne denge slightly_smiling_face pensive_face,sarcastic
konaa baddala bolato baana thevaa raajakaarana saathee kaahee nako boloo baaee,sarcastic
tell mee apna pura hath duba lena us hath koo till meee dall lena hath mee jitne till chipak jaye agar utni barr bhi koi musalman tumko bole ki mai sach bol raha hu too bhi uska bharosa matt karna ~ guru govindsingh ji folded_hands,non-sarcastic
Iska jinda rahna hi galat baat hai enraged_face face_with_symbols_on_mouth,non-sarcastic
Gravity cross_mark aisi koi cheez hi nhi hoti check_mark_button,non-sarcastic
gatara kee paidaaisha laga rahee hai la.dakee,non-sarcastic
Paisa kesa paisa? face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Thumari bhan ma land Randi ka face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Dar ki maa ki dew face_with_tears_of_joy,non-sarcastic
Jay shree ram folded_hands smiling_face_with_horns red_heart,non-sarcastic
bkl aba nahee bolegaa koee kucha ...... nupura sharmaa sabako yaada hai......isako bhoola gae isako bolo aba ? lo isake khilaafa ekshana? bc yahaan pe aa jaataa hai sekularijma ok_hand folded_hands,non-sarcastic
tu chapri ha bhai tujhe nhi pata lekin tu ha,non-sarcastic
bhaaee bahana choda mata bolo achchaa naheen lagataa andhaa gho.daa resa men dau.daa isakee maan kee cha** men lau.daa yaha bolanaa chaahie,sarcastic
chapri sala tu jeso ki vajah se sa.daka para loga muskil se chal pate he crying_face,non-sarcastic
