Transliterated_Comment,sarcasm_label
aba to janataa ko samajhanaa chaahie sirpha sattaa men aane ke lie aisaa jhoothaa bayaana diyaa gayaa hai,sarcastic
plz action this woman enraged_face enraged_face enraged_face,non-sarcastic
India India India India India India red_heart red_heart red_heart red_heart,non-sarcastic
Wah wah kya kehne hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
eesko dekhkar dar bhi dar jaega fire fire,non-sarcastic
Aur Modi ji to Pradhanmantri Ban bhi gaye the unhone 15 lakh rupaye abhi Tak Nahin Aaye Hamare account mein,non-sarcastic
Beauty of Islam clown_face clown_face rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
lu.n lele atank.w.adi ben raising_hands chod,non-sarcastic
Do nothing + Dar k age Jeet hai face_with_tears_of_joy,non-sarcastic
Sapne mein Allah Hu Akbar kar face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Shameful act by mamta banarjee crying_face angry_face,non-sarcastic
face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth index_pointing_at_the_viewer index_pointing_at_the_viewer index_pointing_at_the_viewer index_pointing_at_the_viewer index_pointing_at_the_viewer,non-sarcastic
Bharat se asa log ko pakistan bhejna chahiye joy shree ram ram red_heart om om,non-sarcastic
Kadhar hai congress party rolling_on_the_floor_laughing face_with_tears_of_joy,non-sarcastic
Hain ji ?? thinking_face zipper-mouth_face face_with_rolling_eyes face_with_rolling_eyes,sarcastic
isa baara isa para bhee dhyaana deejie prabhu,non-sarcastic
pagal anchor... tum hindu muslim paka karao gae,sarcastic
Chup supnekha Rakskhni face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
pata karo takla kaha h sadme me fasi na laga le,sarcastic
kitna paisa leta hai bjp se check_mark_button,sarcastic
No more internet for today unamused_face,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
hichya ai cha bosda ai zavdi sali,sarcastic
haa to mere sabhee sanaatanee hindoo bhaaiyon inako dikhaa do apanaa paavara| maidama jee kaa akaaunta banda karaayaa jaae,sarcastic
1 rupya tak ni dega congres ki sarkar enraged_face enraged_face,sarcastic
"are tu ghusa re ,dushmana bolee hai ,teraa abbaa baabara gayaa jahannuma tu bhee nikala le aba",non-sarcastic
Ab ma chudegi fata fata face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Tula koun ta rang pahiche face_with_tears_of_joy,non-sarcastic
Isme koi gaadi thokta to aur jayda acha hota face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Pappu being pappu for a reason,sarcastic
Eat 5star and do nothing check_mark_button skull moai,sarcastic
folded_hands Jai shree Ram red_heart red_heart,non-sarcastic
