Transliterated_Comment,sarcasm_label
Bhikari sale musalma face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy jy Shri ram red_heart red_heart red_heart,sarcastic
nujhe laga last me elvis bhaaaaii bolega face_with_tears_of_joy,non-sarcastic
aapni gand bich mai ghusane ke kya jarurat thi. aabhi tuzhe yad a raha hai ke tu middle class ka banda hai.,sarcastic
Tuhde paise dud pii rhe a face_with_tears_of_joy,non-sarcastic
Vote vote dalo khata khat khta khat face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
400 paara hone do saba hategaa isa baara,non-sarcastic
chapal ghis jayega par pesa milega nehi dekhna,non-sarcastic
hindoo hai hindoo the aura rahenge,non-sarcastic
Ha ha ky bat hai aise log ab chunav ladhege face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Garve se Kahenge Wo Ki wo Asli Hindu hai check_mark_button check_mark_button,sarcastic
Hath rakhne ka style thoda sexual h skull,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
aabe tihadi congress jitega to hi na dega sale andhbhakt anpad jahil person_facepalming,sarcastic
bhai tu china se kad kar dikha de tere purze bik jayenge,sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
"bhaajapaa vaale gobara khaake kucha bhee na bolaa karen, dhyaana se sune dhruraathee ne bolaa bhaarata ke itihaasa me koee bhee maujoodaa mukhyamantree jela nahee gayaa, jisakaa artha hotaa hai.n kee mukhyamantree pada para rahate hue kisee mukhyamatree jela naheen gayaa hai.n| unhonne ye naheen kahaa ki kabhee koee mukhyamatree jela naheen gayaa| iseelie kahate hai.n moorkha raajaa kaa moorkha prajaa| rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing",sarcastic
tujhyaa saarakhe navhate ga te tulaa savaya aahe tonda maaraayachee bhikaaree ...,sarcastic
Free wali Peaceful community clown_face clown_face,sarcastic
⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⣿⣿⣿⣷⣶⣴⣾⣿⣿⣿⣦⡀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⣀⣤⣤⣴⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⣤⣤⣤⣄⠀⠀⠀⠀ ⠀⠀⠀⣼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷⠀⠀⠀ ⠀⠀⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡀⠀⠀ ⢀⣤⣾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⡀ ⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠟⠁⢈⢻⣿⣿⣿⣿⣿⣿⣿ ⢿⣿⣿⣿⣿⣿⣿⣿⡿⠻⣿⣿⣿⣿⣿⣿⣿⠟⠁⠠⢀⣴⣿⣿⣿⣿⣿⣿⣿⣿ ⢈⣿⣿⣿⣿⣿⣿⣯⡁⠀⠈⠻⣿⣿⣿⠟⠁⢀⣐⣽⣿⣿⣿⣿⣿⣿⣿⣿⣿⡁ ⣾⣿⣿⣿⣿⣿⣿⣿⣿⣦⡀⠀⠈⠛⠁⠂⢔⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣷ ⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣦⡀⠀⢐⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿ ⠈⠛⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣶⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠟⠁ ⠀⠀⠀⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠀⠀ ⠀⠀⠀⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠀⠀⠀ ⠀⠀⠀⠀⠉⠛⠛⠛⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠟⠛⠛⠉⠁⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠻⣿⣿⣿⠿⢿⡻⠿⣿⣿⣿⠟⠁⠀⠀⠀⠀⠀⠀⠀⠀,non-sarcastic
"vaॉlyooma banda karake dekhataa hoon, teree nyooza gaaliba, shakla to achchee hai, para too baata achchee naheen karatee.. rolling_on_the_floor_laughing rolling_on_the_floor_laughing",sarcastic
eeske ma bap ne yhi sikhya hai check_mark_button,non-sarcastic
ooski gadi thok di ladegi nhi wo shi kra bhot ulti.sidhi chalate hai,non-sarcastic
Hindu cross_mark hijade hai check_mark_button enraged_face,sarcastic
hicha ba n nit bhokat ghatl ast tr ashi gandi vate paidas zhali nasti,non-sarcastic
Real muslim face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
तुझ्या सारखी न्ह होती ते face_with_tears_of_joy,non-sarcastic
eenko to musalman musalman laga rehta he pata nahi musalmano ne in ho ka kiya bigada he thinking_face,sarcastic
patak ke chod do bhai eetna bat kyon sun raha hai,sarcastic
Proud to be hindu triangular_flag triangular_flag,non-sarcastic
Sahi Answer hee nhi diya person_facepalming,non-sarcastic
jaya shree raama triangular_flag triangular_flag triangular_flag folded_hands folded_hands folded_hands,non-sarcastic
dhruv rathee cross_mark kejriwal ka loda,sarcastic
nountain dew dar ki ma ka chut moai skull check_mark_button,non-sarcastic
kya ye gandagi ko koi hatayega,non-sarcastic
Jai Shri ram triangular_flag triangular_flag flexed_biceps flexed_biceps,non-sarcastic
doosaro kaa ghara ujaa.da ke mandira kaa raastaa banaa rahe ho||| raamajee bhee hote ho tuma logo ko aisaa karane se jaroora rokate... lekina godee meediyaa ko to shreya sirfa beejepee ke paksha men pesha karanaa hai,non-sarcastic
to maa chudale builder ke niche thumbs_up_light_skin_tone,sarcastic
goblin khalistani tumhari bhi aukat jald hi dikhayenge enraged_face,non-sarcastic
Munwar bhai is king of India,non-sarcastic
dont vote for congress it will destroy our country for sure 101%,non-sarcastic
rahul sir ko phele pm banaw us ka bad milaga paisa khata khat khata khat check_mark_button,sarcastic
