Transliterated_Comment,sarcasm_label
hum bhi marne wale nahi h hum bhi yahi rahege,non-sarcastic
tulashee baageta yaa kaamaalaa kaama milela hyaannaa,non-sarcastic
Some comments were always asking for the cameraman….,non-sarcastic
godee enkara saale kisa duniyaa me ho kaagresa aaegee tero .....maaregee bhee,sarcastic
Women rolling_on_the_floor_laughing gravity खतम rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing check_mark_button,non-sarcastic
Ye Scheme only Mushlim Mahilaon ke liye thi???,non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
kaha gaye vo jo proud to be muslim h,sarcastic
"Eat 5 star do nothing, mountain dew dar ke age jit hai face_with_tears_of_joy",sarcastic
isakaa baapa achche se kandoma lagaayaa hotaa to ye chinaara paidaa nhi hui hoti,sarcastic
hya nalayk bai la na nargat pn jaga nahi midnar hichi jib kapli pahije,non-sarcastic
2024 ke bad wakf nahi dikhega,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
Sister folded_hands folded_hands folded_hands folded_hands India India India India India India India India India,non-sarcastic
nanoj kumar tamer ko suspend kar diya to isko ticket kese mila puchti he am janta,non-sarcastic
Bro started rapping in politics face_with_tears_of_joy,non-sarcastic
Moye Moye rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy,non-sarcastic
Jay shree ram triangular_flag triangular_flag triangular_flag,non-sarcastic
nhi bilkul nhi karna chahiye. aaise aise niyam bna k hi nehru ji ne hinduo ki what lga di hai enraged_face enraged_face,non-sarcastic
aager bat humare cm pe ayi toh 80 me se ek bhi seat nhi jeete gi bjp yogi ji,non-sarcastic
