Transliterated_Comment,sarcasm_label
Gravity ki maa ki ch** face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
aaai bapachi jara tari ijjat theva .....udya nagdyane video banva,sarcastic
tu juth gyan mat dey tu india aja 1 bar fir dekh logo ko gumrah kanre k leye tuje bhi jel hi jana h,sarcastic
Eat 5 Star Do Nothing smiling_face_with_hearts,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
ha ja apni beti bhi chhod de,sarcastic
aapne bap se bhi aise bat karta hoga..,sarcastic
film ki bhi ma bahan kr di,sarcastic
kuch mat karo dar ke age jit hai,non-sarcastic
lavadyaa khichadee bhaata khaaoona gaanda daaboona gharaata basaayachan naa kashaalaa jhavate gaadhava angaavara ghetale too,sarcastic
Bhai be like as if he has infinity infinity lives,non-sarcastic
clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands clapping_hands,non-sarcastic
Jai shree ram red_heart om red_heart,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
ye act ko remove karna chahiye,non-sarcastic
Arre yha to Congress का office hua tha face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing Maja AA gya or do Rahul Gandhi ko vote O khud bhikhari hai,sarcastic
Abe lannd fakir ye kya hai or tu ky bol raha hai chutmanike face_with_steam_from_nose lavdi media bc,sarcastic
Bss Congress ki govt bn ne do pura india Waqf board ka hoga,non-sarcastic
Next Target waqf board gayab face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Action pel rhi h 1 thik se jhapd pd gya iski jeans geli ho jayegi,non-sarcastic
Gravity gayi maa chudane.... check_mark_button face_with_tears_of_joy face_with_tears_of_joy,sarcastic
isliye tere back lag rahe h study karo to puri karo beta adha karoge to aisa hi hoga,non-sarcastic
ee have done it once skull,non-sarcastic
aaai bap kiti mehnat karun tumhala shikshanasathi hostel la pathvatat a ani tumhi he asle dhande karatat tithe,non-sarcastic
waqf board develop cong development .vote to bjp save india be safe,non-sarcastic
