Transliterated_Comment,sarcasm_label
aare chinala raanda budhavaara petha madhye jaaoo raakshasa tujhe vaata baghata aahe,sarcastic
nyootana ghyaa maa chudaane aisee kucha cheejahee nahee hotaa,sarcastic
hya aslya porinchr rep ka hot nahi khara majj tar hyanchya gandit asto,sarcastic
Tu samja nhi tu nhi samja face_with_tears_of_joy,non-sarcastic
Sirf Muslim mahila ke liye sceam thi face_with_tears_of_joy face_with_tears_of_joy,sarcastic
sir ase hi nahi sit ayi hai inki jhase diye gaye hai yai uska ak namuna hai,non-sarcastic
Tuja Dana hanla undge face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Mountain dew dar ki maa ki chut face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Avi to maja aayega n face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
garmi ka asar h eske uper,non-sarcastic
Sarkar banti tab na dete face_with_tears_of_joy,sarcastic
"""eat 5 star do nothing, mountain dew, dar ki ma ki chu""",non-sarcastic
gandu profile dekh fr andbhkt ho to skta lekin teri trh lla** bhkt nhi,sarcastic
yisko dekhake bas gali ati man me,non-sarcastic
🅹 A_button_(blood_type) 🆈 🆂🅷🆁🅴🅴 🆁 A_button_(blood_type) 🅼 prayer_beads triangular_flag triangular_flag,non-sarcastic
Why are we still not able to get rid of it. It’s high time. Apki bar 400 par.,sarcastic
isakee maan pe koee mulaa cha.dhaa hogaa jaya shree raama triangular_flag triangular_flag,sarcastic
JAY shree ram triangular_flag trident_emblem leaf_fluttering_in_wind,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing Khata khat khata khat,non-sarcastic
eeske bhasha bata rahe hai kaise hai p****l diya,non-sarcastic
अरे अच्छा हुआ कि तुमको नहीं पे**************** ला face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
O bhan chod yaha too mot ka khal ho rha ha face_with_tears_of_joy fire check_mark_button cross_mark,sarcastic
Sab bakchodi hai yeh sab chutiya bana dala our tum ban gay face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Bhai iski shadi hi nahi hui bas isi wajah se sadme me hai face_with_tears_of_joy,non-sarcastic
Gravity almost on the sports face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
loo mut diya ratthi ke gyan pr.. isliye beta bap se panga nahi,sarcastic
face_with_tears_of_joy . face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat,non-sarcastic
modee jee ha to ham h folded_hands,non-sarcastic
100 dhruv rathi ko breakfast me khata hu,non-sarcastic
honda haii enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
aarreee yar bina sarkar keisa milega,non-sarcastic
eendia is not even for indians skull skull,non-sarcastic
Cameraman never Died Hance proved check_mark_button,non-sarcastic
ye to galt h isko sha milnee hi chahiye,non-sarcastic
I give u advise don't eat both at a time cross_mark skull,non-sarcastic
sudhaanshu trivedee chalataa phirataa googala hai unake saamane koee jeeta naheen sakataa naheen yaha galata bolate hain,non-sarcastic
nere bhi bs 2 baki he stak ho jayga100. fir bs sachin ki tarah sanyas lelenge,non-sarcastic
jitna gyan hoga utna hi to pelega!!!,sarcastic
tu kiti janana udun ghetls tula savay ahe,non-sarcastic
Jab jab jel me gye uss time CM nhi the ye... And He said ki present time me CM hone par jel gye hain bo,sarcastic
cross_mark cross_mark cross_mark cross_mark cross_mark cross_mark cross_mark skull skull skull skull skull skull skull skull skull skull skull,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy isko do thappad ki jarurat hai,sarcastic
CPC and Transfer of property act :- Am I joke to you ? face_with_rolling_eyes,sarcastic
to usme gravity kaha gayi -----gravity gayi mac***ane,sarcastic
triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic
Mountain dew /... Dar ka maa ka namste winking_face beaming_face_with_smiling_eyes,non-sarcastic
budhavaara pethetoona paloona aalelee randee aahe hi..,non-sarcastic
No it has to ban medam,non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
nakli bache ko bachane ke liye itna time kharab kar diya,non-sarcastic
Bohut jyada khush hona chahiye q ki Gujarat lakho log ek time pe mare gaye the usi ilake se humare pm hai to kya hum khus na ho thoda to soch ke bole anchoring karne diya to kuch bhi bina soche bakchodi karoge kya thinking_face thinking_face,sarcastic
Newton be crying in the corner,sarcastic
shyd me itna fast hota duniya me logo ko meri jarurat hoti slightly_smiling_face,non-sarcastic
Agar adhaar card me naam ALLAH likh du... To kya saara property mera winking_face face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Gravity kam ho gayi hai ya newton ne sabko chutya banaya face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Muslims cross_mark bahen chod face_with_tears_of_joy face_with_tears_of_joy,sarcastic
jarmana shepharda tujhe sunate hee vo hai jo jhootha se pyaara karate hai,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
tera bap chod ke gaya tha ki teri mai,non-sarcastic
puri video ka link do dekhta hu konsa acchi bat krdi,non-sarcastic
Send this Tihadi return back to Jail. This man is literally became a Puppet of BJP/Rss and he always try to Spread Hatred,non-sarcastic
Hila hichya gharche vicharat nhit bahercha kon jhata aikty face_with_tears_of_joy,non-sarcastic
