Transliterated_Comment,sarcasm_label
sabko puncture ki dukan khol ke di hai,sarcastic
"niddle class ka card mat use kar jab video mein galiya de raha tha tab nai sujah teko ki mein middle class se hu kuch hogaya toh kaise handle karuga, le ab bhugat.",sarcastic
Oo plz educated log har bar bar chiz ko muda na banao yrr kal tum hi log jyada dharm nirdesh log he kya chutiya insan he ye yrr face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Bolte rehana face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
78+ calls from Marvel Avengers.... From her running clapping_hands_light_skin_tone,non-sarcastic
tabhi to 400 seats chahiye thi...lekin hindu tk hamesha jat me bantkar reh gaye....,sarcastic
we don't want sikh like them,non-sarcastic
tum logo ki q jal rahi hai,sarcastic
Waqf board ministry of minority affairs k under ata hai Jo ki smriti zubair Irani samhalti hai.,non-sarcastic
WAQF what the fuck this will exist after 4 June,non-sarcastic
hichya ai chi puchi hichya enraged_face enraged_face enraged_face,non-sarcastic
bas esse aact ko nikalne k leyye 400+ chahiye tha. par apne oop wasiyo ke dimag se gobar nikle tab na,sarcastic
kuch nahi dar ki ma ki,non-sarcastic
cross_mark cross_mark cross_mark cross_mark cross_mark face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
येवढं खर नाय सांगायचं दादा hundred_points winking_face_with_tongue face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
dhruv rathi ne sirf cm ke bare nai bola cm rahte hue,non-sarcastic
Khata khat khata khat rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
jitne logon ne comment kiya utne hi report mar do es account pr,sarcastic
Bharva Giri karna band karo bhai face_with_open_mouth,sarcastic
Chapri ban kro India me crying_face,sarcastic
Eat 5star do nothing and mountain dew dar ki ma ki taut face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Wa matherchod waa clapping_hands clapping_hands clapping_hands,sarcastic
Ab dekh lo doglo rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing khatakhat khatakhat.. Ab bhag jao fatafat fatafat face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
oop cross_mark jisa thaalee men khaanaa usee men cheda karanaa check_mark_button,non-sarcastic
tum sabko dub mar jana chahiye,sarcastic
Yogi ji pata hai na face_with_tears_of_joy orange_heart orange_heart orange_heart orange_heart orange_heart orange_heart orange_heart orange_heart orange_heart jay shree ram,sarcastic
Reason to Vote for BJP triangular_flag,non-sarcastic
