Transliterated_Comment,sarcasm_label
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
ye kandoma kaa mahatva achche tareekaa se jaanatee hogee liyo kee isakaa baapa bataayaa hogaa kaॉndama phatanaa kitanaa bhaagya kaa baata isake lie,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
rahul gandhi nani ghar jane jayega wahi se paisa layega tab na tumko de ga re nurkh jahil,sarcastic
Ye to modi ne b 15 lakh bole the cross_mark,non-sarcastic
राजा और रूद्र सबके विरुद्ध grinning_face_with_smiling_eyes,non-sarcastic
Proud to be HINDU triangular_flag om,non-sarcastic
aaur jeetaw pappu ko rolling_on_the_floor_laughing khatkhat khatakhat khatakhat,sarcastic
Katter Hindu check_mark_button check_mark_button check_mark_button triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic
face_blowing_a_kiss smiling_face_with_hearts face_blowing_a_kiss कोई मुझे भी पटा लो यार face_blowing_a_kiss smiling_face_with_hearts face_blowing_a_kiss,non-sarcastic
Khata khat khata khat le le vo log jinhone congress ko vote diya face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
bus ak bar modi ji ko wapis ane do fir isi kandoma se isko chod denge enraged_face,non-sarcastic
gravity ko paisa khela di hai kya,sarcastic
jaya shree raama triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic
jab bhai behench*d nikal jaye rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
chutiya banaya tumko fata fat fata fat clown_face,non-sarcastic
tumhare pas kuch karna hai ki nahi bhai,non-sarcastic
nadar chod ke avlad h ye,non-sarcastic
jay shree ram folded_hands folded_hands folded_hands folded_hands,non-sarcastic
coz you paid for eensta pro,sarcastic
dhruv rathi dog ye video bejo,non-sarcastic
Don't mess with Sudhanshu Trivedi moai,non-sarcastic
"gaarantee kaarda bhee sirpha muslima ko hee diyaa gayaa , isa se ba.daa tushtikarana kaa udaaharana aura kyaa ho sakataa h|",sarcastic
hotaa taa tu nahee thee naa lekina gaandamanee aaoodesaa gaadeetoona padalelee aulaada,sarcastic
tumhari bat kar raha hai woh salon puri video dala karo,non-sarcastic
Kuch bologe to andhabkth ban jaaoge face_without_mouth,sarcastic
nain up ka hun pr nera vote mumbai mein hota hai maine bjp hi diya pr hijde kaise age aye pta nhi crying_face crying_face,non-sarcastic
Madharchhod ye akbar ki nazayaz aaulade issi reel main milengi face_with_tears_of_joy crying_face,non-sarcastic
yeh aagar humare samne hota toh ek bhi apne tango pe khada nhi rehta,non-sarcastic
Tum log kitni bhi koshis karlo Instagram delete nhi karunga face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Beasq yaad rakhna hai or Aane vali generation ko bhi yaad dilayenge red_heart red_heart crying_face crying_face,non-sarcastic
kya farak padta hai un ko samjha denge hum,non-sarcastic
gazaba kaa haraamakhora hai kitanee sa.dee mittee se banaa hai ye gaaleeza aadamee,sarcastic
bhai dhruv rathi sirf congress ko support karta hai aur jaha congress jiti waha agle hi sal musalman india me jyade tadar me a jaenge per ye bat apne hindu bhaiyo ko kon samjhaye jo congress ko support karte hai face_with_open_mouth,sarcastic
drub ratti ab bolo eendia india ke kiye dar rha ha kya moai moai,sarcastic
sahi hai inke sath aaisa hi hona chahiye 8500 ke liye bik gaye,sarcastic
Jay shree Ram folded_hands triangular_flag triangular_flag,non-sarcastic
gravity ka m* ch* dya didi ne,sarcastic
Bap bap hota he or beta beta Jay sree ram triangular_flag,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing fire fire fire fire fire fire fire check_mark_button check_mark_button check_mark_button check_mark_button check_mark_button check_mark_button kise panga le lete ho soch samjh kar lo y'all,non-sarcastic
Eske jagah koi aur ragta to eska kya news hota face_with_tears_of_joy,sarcastic
ye bkl jaha dekh jatta h mere ko gussa bahut h,non-sarcastic
Chup be chutiya yaha bakchodi ni karne ka face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Jab bhi mai udas hot hu to comment padhne chala aata hu face_with_tears_of_joy,non-sarcastic
waqf act ka gand ma par dalu,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat,non-sarcastic
eeslam jinda bad inklab jindabad jay bhim jai mim ye sahi he to ye jo bol rahe he bo bhi sahi he crying_face,sarcastic
eendian nuslim are not muslim ye bat ager pakistan me krta osi rat sy ye qaber me tha,non-sarcastic
Marna hi tha to bachaye kyu face_with_tears_of_joy,sarcastic
aa gae bhikhaaree muphta kaa lene,sarcastic
ek galti kitti a uto ulta bolda,non-sarcastic
Khan se aate he aaise reports face_with_tears_of_joy rolling_on_the_floor_laughing,non-sarcastic
Isme gxd me hath ghusnae ki adat he face_with_tears_of_joy,non-sarcastic
aabe salon tumhara bap ka dudh piya to ek bar mere se nilo batata hun feer tirange jhande ki kya takat hai theek hai sale,sarcastic
तू गायलेला रॅप तुझा ढुंगणावर छापला जाणार कायमचा face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
tu salya bjp da kharida hua dala tujhe kitne paisee mile modi see,sarcastic
Gand mar ki rathee ki to face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
nountain dew dar ki maki chut,non-sarcastic
jay shree ram hindu_temple hindu_temple hindu_temple hindu_temple,non-sarcastic
Speed dekh rahe ho face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Record to nhi pr Tom log aapni begam ki seel jarur Tod doge face_with_tears_of_joy,sarcastic
Yah pappu Kabhi Nahin sudharne wala hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Israel Israel wale Babar ki olado ko dhund rhai hai face_with_tears_of_joy face_with_tears_of_joy salo bhag jao face_with_tears_of_joy,sarcastic
na bhai hum support nhi kr rhe aise logo ko,non-sarcastic
red_heart red_heart red_heart raising_hands fire clapping_hands crying_face,non-sarcastic
Sabse bada chhapri news channel Aaj Tak hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Laude pr jhul ja had a face face_with_tears_of_joy face_with_tears_of_joy,sarcastic
बहना को भेज वो बता देगी face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
tum tumhari man bahan karvao yar hamen kya,non-sarcastic
aaree yeh kya chal raha hau.... kal. ko. humara ghar ko apna bata denge kya,sarcastic
Jay shree ram folded_hands triangular_flag folded_hands,non-sarcastic
duniya ka sabse bada nich bhi apko dekhke sharma jayega didi,sarcastic
