Transliterated_Comment,sarcasm_label
sala newtown ka law kaha gaya be face_with_tears_of_joy,sarcastic
desh ki media cross_mark modi ki media check_mark_button,non-sarcastic
Abb to beta bhul Jao wabri mashjid face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
respect for you bro.......... flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps,non-sarcastic
Maa choda denge crying_face crying_face crying_face,non-sarcastic
dekho iski makaa chola kucha bhi bhokta hi,sarcastic
कितने भोले भाले लोग है face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Sorry bolna hoga tero ko officially...,sarcastic
aare bol k ma chudao ukhad to waise bhi nhi kuch paoge,sarcastic
Hacer he bhai hacker moai moai moai,non-sarcastic
ta.ctoo ke chakkara me kidhara bhee haatha lagaa le rahaa hai ye face_with_tears_of_joy,non-sarcastic
Thii hii kab rolling_on_the_floor_laughing rolling_on_the_floor_laughing bahen logo ki jamin lutne ki aadat hai tume tho rolling_on_the_floor_laughing,sarcastic
kas ye eska bap us rat ko kondam phn leta to ye din nhi dekhne padta,sarcastic
मोदी की 15 लाख वाली भी दिखा दो गोदी मीडिया face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
49 missed call from marvel face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Etna bda kaam Kiya hai congress ne or Nile kabutar modi ko dosh de rhe he savidhan ka hrakaran to phle hi ho chuka hai face_with_tears_of_joy,non-sarcastic
sale asale log kudun paida houn jate dukri che aulyad enraged_face enraged_face enraged_face enraged_face,sarcastic
randi mhannare sidha karit ahe ki tumhi ashech ahat chapprri mindset che ..g madhi takat asel uttar dya shivys nhi,non-sarcastic
Bache ki mummy ayi thi cross_mark Bache ki mummy mountain dew peke ayi thi check_mark_button,sarcastic
5 kilo rasan bandh karoo inka,sarcastic
ladki h tbhi bakchodi kar pa rhi,non-sarcastic
hi avlad adharat payda zaleli ahe,non-sarcastic
chaaparee mara jaataa hai aisaa baaika vaalaa to achchaa thaa,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Aur do vote rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
"Uncle apne bete ko ""khidki se bhr haath mtt nikalna, darwze pr khade mtt hona"" bolne k baad face_with_tears_of_joy",non-sarcastic
ees liye to bjp party chahiye is ki machod congress party nahi,non-sarcastic
eendia eendia eendia eendia bap se panga nahi,sarcastic
Biki hui Media kitne me bike ho Rey baba face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy kese insaan ho yrr kucch paiso ke liye kucch bhi karoge kucch nhi to apna hi iman bech dete ho face_with_tears_of_joy face_with_tears_of_joy,sarcastic
naya naya paisa hai....ganv se ake ...naya rang chadha hai....lapete me abhi kisi dhang k admi k ayi nhi hain didi please look into this ...she need to learn a lot..,non-sarcastic
ye chapri hr jgh paye jate he,non-sarcastic
dekh rahe ho kaise dalla bol raha h,sarcastic
Yaha bhi pelenge waha bhi pelenge rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
Kisi ne notice kiya sari aurte musalman hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
jo 15 minata bola rahe ho agara hamen 5 minata milaa to tuma saba loga pakistaana me milo ge,non-sarcastic
aura do vota phree kaa chaahie saba kucha,sarcastic
bheekh mangne ka tarika hai ye aaaj kal ka,sarcastic
Dhat Teri maa ki face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
kaunasaa mandira gavarmenta ke andara aataa hai jaraa bataao face_with_tears_of_joy jhootha bolanaa shuroo,sarcastic
5 star +mountain dew dar ki naki ch_t,non-sarcastic
hum bhi acchi se chod sakte hai apki burkha wali betiyo ko .....,sarcastic
aabe sale tihari tujhe dekhkar chinta hoti,non-sarcastic
aabe chutiyo sarkar tho ban ne do,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing kya baat h khud ki insult,sarcastic
oop ke hindu hijde... koi hashtag wagera banao trending kara jaye...,sarcastic
baba baba folded_hands folded_hands folded_hands folded_hands folded_hands sleeping_face,non-sarcastic
Wah didi wahh face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
nilega milega ruko jara khatakhat khatakhat ane main thoda samay lagta hai grinning_squinting_face grinning_squinting_face grinning_squinting_face,sarcastic
Waqt board ko hatao bahan karo cross_mark or desko bachao bjp lao check_mark_button,sarcastic
kaha gye congress ke 14 skull,sarcastic
Gov need to do something. Else comman people will suffer.,non-sarcastic
Nitish hai sarkar face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
isko bich sadak par nagggga ch rap@ kia.jana chahiye,sarcastic
rande tujhaa mulagee laa laau na de tee chee gaan.da phaa.doo na takato,sarcastic
Gravity kaha gyi cross_mark ma gravity maa chuda na asi koi chiz hi nhi hoti check_mark_button,non-sarcastic
100 tofachi salami tuzya gandit fodli. face_with_tears_of_joy,non-sarcastic
Kasm se bolna to nhi chahta lekin agar ye mil Jay to iske Eiffel tower dal du me wo bhi bina helmet ke,sarcastic
aaaisi aurat aurat jat pe kalank hai,non-sarcastic
कॉमेंट में एक भी मुल्ले नजर नही आए क्यू वे face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy triangular_flag triangular_flag triangular_flag,sarcastic
nullo ke bap ka tha jagah tum todo to sahi hum tode to galat dusmann pakistan me nhi hamare desh me hi hai,sarcastic
Baithiye that moments told by Yogi ji in parliament face_with_tears_of_joy just remember his face face_with_tears_of_joy,non-sarcastic
crying_face crying_face crying_face crying_face crying_face crying_face,non-sarcastic
