Transliterated_Comment,sarcasm_label
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Dhruv uncle crying_face ko share kro,non-sarcastic
tab sarkar banegi tabhi to degi paisa yen_banknote jahilo,sarcastic
I mean what the reason for adding religion,non-sarcastic
Gravity gyi maa chudane aisi koi cheez hi nhi hoti face_with_tears_of_joy,non-sarcastic
"garibo ke ye sab bahot galat hua, bas muft ka khane ki adat jisko hoti hai unka hal aaisa hi hota hai thumbs_up",sarcastic
bat hindu ki chal rahi teri kyu jal rahi hai,sarcastic
Ghanta.le.lo.mera. enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
"Please watch movie name ""Aakhir Palaayan Kab Tak""....U will understand more about this rule.....",sarcastic
"naine bhi galat samjh liya tha apko ,sorry",non-sarcastic
aaise bikers ke gadi lath rakhta hu,non-sarcastic
hichaa aaee laa andhaaraamadhye jhavala naahee aahe,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
sudhansu trivedi ji. aapke. pair chhi,non-sarcastic
Lagta ki yam raj face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy chhutti per hai,sarcastic
Is ke papa aur mama ek hi hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Do nothing cross_mark_button Dar ki maa ki chut check_mark_button,non-sarcastic
jay shreee ram triangular_flag triangular_flag triangular_flag,non-sarcastic
Itna toh ladkiya ni katti jitna Congress ne inn aunty ka kata h face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
o bahan ke land dhire teri bahan ki chut nara bharat ka jhanda pairon nein le hua,sarcastic
bnd kro is faltu ke aact ko... ek chutiya to pass kr gya isko... khud to mr gya sala...,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
isa maheelaa ko barkhaasta kiyaa jaae ka.dee se se ka.dee sajaa dee jaae,sarcastic
2 rs per day wale anpadh andhbkkto ko expectation dhruv see hee hai kyoki unko bhi pata hai ki unka bap feku nithalla hai.,sarcastic
Jiske malik sirf bulla honge red_heart fire,non-sarcastic
aasi hi drafting sikhni hai grinning_face,non-sarcastic
nodi ji yogi ji triangular_flag triangular_flag,non-sarcastic
please tell full information brother folded_hands_light_skin_tone rose,non-sarcastic
Ab samjh aya ye behen ki gali kahan se aai.. rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
sarasvatee jee brahmaa jee kee betee theen,non-sarcastic
Tum jaise rider mere area me hote to raham Ki bhik mangte face_with_tears_of_joy face_with_tears_of_joy,sarcastic
garv se kahi up walo tum hijde ho,sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
bhai yhi glt ha ase nhe krn chahiye,non-sarcastic
tumhare papa bhi 150000/ har desh washi ko aj se das sal pahle dene wale teh uska kya hua aue nani chip mila 2000/ 500/ ke not me,non-sarcastic
vah kya bat h great check_mark_button,sarcastic
Congress varuwa hai sala face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Apne area me vant rahe hai face_with_tears_of_joy,non-sarcastic
puchtaa hai desh face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
25 laakha to die nahee modee ne,non-sarcastic
Mountain dew dar ki maa ki chut face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
E madhrchod dhruv Rathi sala randi ka aulad face_with_symbols_on_mouth,non-sarcastic
He is the best example.. udta tir khud ki gaand main kaise lete hai .. rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
Congress Ko Khud Pe Bharosa Nhi Tha Ki Vo Jeetengi face_with_tears_of_joy clown_face,sarcastic
Dhruv rathi se bada chutiya koi nahi hai face_with_symbols_on_mouth,non-sarcastic
kulta majleli thu ahe tujhya var,non-sarcastic
tu anapa.dha hai bhaarata kaa sanvidhaana kahataa hai jo galatee karegaa jela jaaegaa chaahe vo laaloo ho yaa kejaree samajhaa,non-sarcastic
tujhyaa janmaachyaa velee andhaara padalaa asanaara mhanoona asan bolanan suchata aahe tulaa face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
tula asach pahije .....kashala ugach bot karaych mg,non-sarcastic
hindoo cross_mark hija.de check_mark_button chee dhikkaara hai aise hinduon para enraged_face,non-sarcastic
This guy should be imprisoned for so much of false information,non-sarcastic
Atank wadi sudheer chaudhri face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
talavaara fire kee noka para salavaara pahana lee uttara pradesha vaalo ne triangular_flag,non-sarcastic
Yeh sab bjp wale h congres ko badnaam karne ke liye Puri duniya ko pata h bjp jitti h aur aaj tk chennal tho pura bjp walo ka kharida wa maal h face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy aur kuch ho nhi rha in logo se Congress ko badnaam kar rhe h Bina wajah,sarcastic
Jhula thoda sexual hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
Darr ki maa ka Bh_s_a rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
ab apke v4 bataye is par,non-sarcastic
Congress ne yahi toh dia h Hmare desh ko,sarcastic
nountain dew dar ki ma ki chu skull skull skull moai,non-sarcastic
cross_mark cross_mark cross_mark cross_mark cross_mark red_heart red_heart red_heart India India India India,non-sarcastic
c k ranabhai main up se hu par mujhe garv mp valo pe hai,non-sarcastic
ghe ghalun atta koni tari marun jail,non-sarcastic
e vidhavaa meediyaa hai bhaaee sirpha bjp ko hi dikhata hai,non-sarcastic
क्या मै ही हू जिसे ये फोकट मांगने वाले सब specific R***gion के दिख रहे है??? face_with_rolling_eyes face_with_rolling_eyes face_with_rolling_eyes,non-sarcastic
enraged_face enraged_face enraged_face phaatakyaa tondaachee hilaa gheoona shivasenaa neen kaaya chooka kelee aahe he lavakaracha tyaannaa kalela enraged_face enraged_face ashyaa neecha mentala moorkha maanasa naa kaaya maahitee shree raama kaaya hote enraged_face enraged_face enraged_face,non-sarcastic
Bro eats German Shepherd like his lunch face_with_tears_of_joy,non-sarcastic
jai shree ram triangular_flag triangular_flag triangular_flag,non-sarcastic
India India India flexed_biceps_light_skin_tone flexed_biceps_light_skin_tone flexed_biceps_light_skin_tone enraged_face,non-sarcastic
To Tihar jail mein achcha tha face_with_tears_of_joy face_with_tears_of_joy,sarcastic
kaangresa kee gandee chaapaloosee muslima votarsa ko bevakoopha banaatee aa rahee hai kaee saalose lekina musalamaanon ko ye samajhataa nahee hai rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
Va re bhn ke loude face_with_tears_of_joy,sarcastic
Five star cross_mark Mountain dew cross_mark Desi Daru check_mark_button,sarcastic
bagha bhavanno tyane fakt lokancha samor reality annycah praytn kela pn thoda funny way madhe je youtubers pn karta pn actually yane fakt changla kela pn apn yala glt samjto he,non-sarcastic
kitee paanachata aahe hee.... enraged_face enraged_face enraged_face,non-sarcastic
Bahut Bakchod admi hai ye face_with_tears_of_joy,non-sarcastic
roj ya jhaun java yanchi sansta,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy clapping_hands clapping_hands clapping_hands,non-sarcastic
tu toh apni ma se bhi wakhif hoga.. ja unke sath bhi soo ja... unamused_face,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy raising_hands raising_hands raising_hands raising_hands,non-sarcastic
chutiya sarkar bjp ki bani he bhadve modi ke dalal... face_with_tears_of_joy,non-sarcastic
bhag board ko band kar dena chahie,sarcastic
lagataa hai mahilaaon ko kaanoona milaa huaa hazama naheen ho rahaa hai,sarcastic
After this India is a secular country. Hypocrisy of india.,non-sarcastic
"tujhyaa gaan evadhee kaa khaaja hotee asaa vhidio banavaayachee , tujhyaa baapaane kelaa hotaa kaa asaa kantenta tulaa tara haanalaa paahije , ithe prakarana kaaya jhaalaya aani tulaa kide aaleta angaata",sarcastic
Penguin penguin can speak Hindi face_with_tears_of_joy,non-sarcastic
Babar chakka tha ye kyo nhi bolte face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
nujhe ye samjh nhi a rha hai ki ye rathee waha germany se baithe baithe hama re desh ke logo ka mindwash kar rha hai iske gumrah me na pade fire,non-sarcastic
Par face reveal kab hoga face_with_tears_of_joy,sarcastic
jindagi me kbhi gun hat me a gayi to isko pehle pel dunga angry_face,non-sarcastic
kya yar insaniyat v nhi hai enraged_face,non-sarcastic
Gravity jaisi koi chiz nhi hoti face_with_tears_of_joy,non-sarcastic
One more reason to vote modiji triangular_flag,sarcastic
"eesme seculerism kaha se a gaya be, ashikshit /gareeb log jyada hi bachche paida karte hai",sarcastic
eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia,non-sarcastic
Arre iski jal gyi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
jb ap nhi jante k public k liye ye khushi hai ya na to news post hi kyu ki face_with_tears_of_joy,sarcastic
Proud To Be Indian Muslim India red_heart cherry_blossom,non-sarcastic
you are right mister sudhir chodhary jinki jal rehi h vo to gali dege hi apko kyu ki in sab ki jal gyi apne sach jo bol diya,non-sarcastic
Mai chota tha tab sochta tha yeah betti chod or bahenchod gali kaise or kisne invention kiya aaj iska jawab mil gaya proof k saath,non-sarcastic
