Transliterated_Comment,sarcasm_label
Khalistan cross_mark maro eski gaan face_with_tears_of_joy check_mark_button,sarcastic
shivsena cha ky upyog nahi...evdh asl bolun tyana pakshat thevta mhnje tumchi pn layki hich ahe re udhava,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
dekh bhai mera secret hai ye combo,non-sarcastic
gravity gyi ma chudane mtlb sach mai yrr konsa nasha phukke ye sab banate hai,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
bolne de bolne de takleef huwa hai bechare ko,non-sarcastic
baabaree masjida thee hai aura rahegee inshaallaaha,non-sarcastic
APNE BACHE KO BACHA DIYA pleading_face,non-sarcastic
Proud to be hindu clapping_hands clapping_hands,non-sarcastic
मुस्लिम से एक मेरा सवाल है ll आप लोग LULA rolling_on_the_floor_laughing क्यों काटते हो Reply..... Jay shree ram triangular_flag,non-sarcastic
"aura aasapaasa ke loga sirpha dekha kara apanaa taaima paasa kara rahe hain basa, jabaki unhen sahee galata kaa pataa lagaakara shaantipoorvaka maamale ko nipataaraa karate hue dono pakshon ko alaga alaga kara denaa chaahie|",non-sarcastic
Choro ko jel se dar kya face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing clown_face clown_face le Lee 1 lakh rupaye clown_face clown_face,sarcastic
Kehna kya chahte ho face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Yahi condom tere baap ko lgana chahiye tha,sarcastic
kaangresa ne gajavaa e hinda ke puktaa intazaama kie hai,non-sarcastic
Bhai ye toh meri baat sach hogyi face_with_tears_of_joy mai dost se kaha tha. Aaa mere land par jhool le face_with_tears_of_joy,non-sarcastic
hindu so raha he or sota rahega inko koi fark nhi padta,sarcastic
5 star + mountain dew = dar ke makech*t,sarcastic
"yaanchaa vhideeo baghoona maaya baapaachyaa tondaachaa udaalelaa ranga face_with_rolling_eyes face_with_rolling_eyes ,, anaitika sambandhachee paidaasa thumbs_up",non-sarcastic
Elvish bhai ka pilla he... Dharu rathee dog,non-sarcastic
aare too bhenchoda malaa bhetoo nako kutryaa tujhyaa gaadeeta raॉda ghaaloona maaranaara,sarcastic
dhruva raathee maulaanaa ke munha pe moota diyaa kattara hindoo ne jaya jaya shree raama triangular_flag triangular_flag triangular_flag,sarcastic
ye meetha hai.. keju ka ladka..,non-sarcastic
Ye jhula to mar bhi sakta hai bro face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Nahi Milega cross_mark cross_mark cross_mark rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
थूकता हूं तेरी इस घटिया कारीगिरी पर। face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Kidney touching videos crying_face crying_face crying_face crying_face,non-sarcastic
eendia eendia eendia eendia eendia eendia,non-sarcastic
"that's the tanashahi.....board banda hona chahiye , ee hope nodeejee ise ukhalakar fekenge , as eeike 370 .....",sarcastic
Vote for Hindu triangular_flag vote BJP backhand_index_pointing_up folded_hands,non-sarcastic
biker ki gand todd do clapping_hands,sarcastic
Gravity ki m c diiiiiiii face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Never debates with Google made in india skull_and_crossbones,non-sarcastic
or masjid se pehle vha kya tha?,non-sarcastic
The entitlement of the chapri gandus... Bhadwa saala,sarcastic
Chehra chupake koi bhi bhok sakta hai face_with_tears_of_joy,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
ye godi nedia wale nhi sudhrenge,non-sarcastic
Isme 80 % to Muslim ladies h face_with_tears_of_joy mtlb face_with_peeking_eye,sarcastic
bahan ki himmat or prayas ko naman,non-sarcastic
Mujhe shrm fill ho rhi hai main bhi up se hu crying_face,non-sarcastic
हार गया तो कौन देगा smiling_face_with_horns smiling_face_with_horns,sarcastic
Aviator hack chayea to message karo check_mark_button,non-sarcastic
Mountain dew = dar ki maki chut rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
Pakisthan me rehena hai to behenchod hona parega cross_mark Hindustan me reneha to jay sri ram bolna parega check_mark_button,non-sarcastic
vah manovar farooqi hai agar vah nanish hota to yah bat na hoti,non-sarcastic
South indians paid taxes for these ppl for 80 years crying_face,sarcastic
India India India red_heart red_heart red_heart,non-sarcastic
khatron ke khiladi cross_mark khatron ki ma ki ankh check_mark_button moai,sarcastic
kiya bakwas kr rhe ho chacha,non-sarcastic
eesko yahi condom pahna kr dale ge,non-sarcastic
"he bhagwan, rakhaya kara triangular_flag triangular_flag triangular_flag triangular_flag",sarcastic
Abe saalo bol bhi kiske samne raho ho google ko bhi nai pata jo wo pata h sudhanshu ji ko face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Gandu dhruv rathi mut diya muh pe le ab face_with_tears_of_joy,non-sarcastic
Proud to be hindu triangular_flag clapping_hands,non-sarcastic
हिला अर्धवट न्याना वली partichy नमुने आहेत हो face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
"thik ahe amhi shiv sena manat nahi, kuthe jaun thond dakhvshil ai asel na ghari , tya ai la vichar barobr bole ka",non-sarcastic
bihaaree hai guroo kabhee gaddaaree nahee kee folded_hands,non-sarcastic
Saare k saare chulle he dikh rahe h bhid me face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Thats why indian media is in 161 rank out of 180 face_with_tears_of_joy,sarcastic
to ise bhi jlakr khak krdo hinduo soye hue kyo ho awaj uthao,sarcastic
face_with_tears_of_joy face_with_tears_of_joy clapping_hands clapping_hands bhai ye gandu issa hai aapne to iska lehnga kho ke chod diya rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
"oop se hu fir kahunga garva hai mujhe hindoo hone para triangular_flag , kyonki dogale nahee kattara hindoo hai| jaya shree raama triangular_flag bjp in the blood drop_of_blood",non-sarcastic
Isko post krne ke liye BJP se kitna paise liye h apne face_with_hand_over_mouth face_with_hand_over_mouth dhruv bhaiya se kuch sikh ligiye ki news kya hoti h,sarcastic
Le moot Diya Tere German shepherd pe skull rolling_on_the_floor_laughing,sarcastic
"Rathee beta thoda padhai likhayi par dhyan do, chutiya na to history ka pata hai na present ka chala aaya bheemta influencer banne face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy",sarcastic
to sarkar bani hi kaha hai jo pahonch gaye lene,sarcastic
Do nothing + dar ki maki chud face_with_tears_of_joy,non-sarcastic
