Transliterated_Comment,sarcasm_label
bholey bhaley log kaise yeh mantri log inko bewakoof banate,non-sarcastic
aabhi sarkar bani hi kahan hai,non-sarcastic
Thada thata tha sale bheekh Mang Le sale itne bhi hai sab katue pahunche Hain Musalman sale face_with_tears_of_joy face_with_tears_of_joy middle_finger_dark_skin_tone middle_finger_dark_skin_tone rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
Teri bhi jaldi na rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
do nothing+darr ka aga jeeth hai,non-sarcastic
Isko tunnel tak chodr ke aana padinga face_with_tears_of_joy,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Daar ki maa chu**** face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Hichya gandit tiger bam vala face_with_tears_of_joy,non-sarcastic
Wo ek phle ki lady ka video dekhkr khud ko sher smjh rhi hain ek lappad main chuha bn jayegi face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Gaad jaali na beta log face_with_tears_of_joy face_with_tears_of_joy,sarcastic
eendia salo ki mot a rahi h,non-sarcastic
sab hizar hai wah pe sab hizra hai sab jatiwad ma bat hua hai,non-sarcastic
Rahul Gandhi cross_mark pappu check_mark_button check_mark_button,sarcastic
Or gravity wo kha gyi crying_face crying_face crying_face crying_face,non-sarcastic
hee jhavaadee hee aahe hilaa hichyaa baapaa cha naava vichaaraa heechee maaee kutha bora khaata hotee face_with_tears_of_joy,non-sarcastic
aag chinhal tuazya aichi gand kadhi disli tar ai zaval rastyavar tuzi,non-sarcastic
dharam ko dhnda bna diya h tum logo ne,sarcastic
proud to be sanatan dharma triangular_flag,non-sarcastic
ramaacha maaheeta naahee pana heene pota bharoona ushte bora khaalle vaatate face_with_tears_of_joy,non-sarcastic
