Transliterated_Comment,sarcasm_label
log big boss jesa show dekhte hi kyo hai,non-sarcastic
aadho ka lekar pagal ho gai ab se pura chahie is liye ae sub kar rhi h fire fire fire,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
kon sa neta kon sa dharm mere liye mera desh pehle hai . tu japta reh ram ram .ma ki choot teri .,sarcastic
Jhante Main Chuchi Baate Unchi Unchi face_with_tears_of_joy,non-sarcastic
मुलगी शिकली प्रगती झाली face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
kitni hindu mahila h es me. thoda es pr bhi bat ho crying_face . congress kya sirf ek jati dharm ke logo ke liye kam kr rhi h.,non-sarcastic
dhruvrathi uski item ke gand mai ghusa hoga,sarcastic
Alla hu akabar cross_mark hila do ekbar check_mark_button face_with_tears_of_joy,non-sarcastic
jarmana shepharda sooara hai| jo samajhaa vo laaika karo face_with_tears_of_joy,non-sarcastic
hindoo hai jaya shree raama triangular_flag,non-sarcastic
agara desha ko aage ba.dhaanaa hai to ameera ghara ke loga aura shikshita loga bhee vota dene jaaen,non-sarcastic
Himmat hai toh ye chehra dikhakar reel banao face_with_tears_of_joy face_with_tears_of_joy hamse pehle muslim log tumhe marenge reel banane ke liye face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
"aakela bolunga to pela jaunga, where is my audience, apni bari agai",sarcastic
kaha gya bhai bol is bare me bol fat gai na bol is bare me,sarcastic
sayad pura nhi ghusa hoga isliye gussa jada hai face_with_tears_of_joy,sarcastic
Iski face_with_tears_of_joy ma to yahi lagana bhul gyi thi grinning_face_with_sweat face_with_tears_of_joy rolling_on_the_floor_laughing to yea paida ho gayi face_with_tears_of_joy car kiska chala koi or gaya,non-sarcastic
eesko bol te hai behen……………baki ap samasdar ho,sarcastic
lo bhai tag kar diya face_with_tears_of_joy,non-sarcastic
Ab bhi bolenge dhurv fact bolta hai.. face_with_tears_of_joy,sarcastic
isako apane baapa ko kandoma lagaanaa sikhaanaa chaahie taaki aisaa namoonaa phira paidaa na ho face_with_tears_of_joy face_with_tears_of_joy,sarcastic
eese jail may dalo sarkar .... traffic police,sarcastic
"aayodhya to abhi jhanki hai , kashi mathura baki hai ... jay shree ram ( kashi ka bhi faisla a raha hai uske liye bhi video ready rakho didi kyuki jalegi to ye hi kr paoge milo kabhi kisi santani ladki se sanatan ladko se pehle wahi tumhe na fad de to kehna face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy ))",sarcastic
Another Reason To Vote For BJP,sarcastic
hela yevdha pan nhi mahit ki 14 varsha chya vanvasat fakta 1 varsh mata sita lankeet hote baki che 13 varsha sri ram and mata sita ne kup anandane vanvas bhigla fire fire,non-sarcastic
One nigga said India is not for beginners face_with_tears_of_joy skull,non-sarcastic
ye baata modee jee aura beejepee taka pohochaane ke lie tarnda kare|,sarcastic
now ee will see what can you do modi ji eendia eendia eendia,sarcastic
"hilaa hyaa gaava jaaneelaa jitoddeena saarakhaa haanalaa paahije randee saalee,",sarcastic
ja ke aphle muslim ladkio se puch le mentala kya wo sab chahti h,sarcastic
Arrey mathura or kashi k bare mein bhi batana. fire fire fire,non-sarcastic
are madam congress ka sarkar prime minister banega tab to dega na kaise dega ghar chala kar dega kya tum log to sale diye nahin congress ko vote bhejo bol raha hai na vah chutiya hai,sarcastic
kabhi kuch na karkey bhe dekho,sarcastic
kash main waha hota bid jata 100 se batan ke izzaj ke katir,sarcastic
अम्मा बहिन पे आ जाऊँगा इसकी......अम्मा बहिन पे आ जाऊँगा........... rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing यही तो हैं मजहब की खूबसूरती face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
dagada maaroona toocha cheekhala udavoona ghetalaasa,non-sarcastic
banaya hi kyu jab banaya ye sab to sunna to padega agar kuch msg denahi hai kuch acha de na tujhe reel bana na hai bana bhai do logo ki jan gai hai uska majak mat bana pata nhi kab sudrege aisa log jo kisi ke dard ko nhi samjhte jo famous hone ke liye kuch bhi krte hai enraged_face enraged_face enraged_face,non-sarcastic
hindustan me ho itana hi kafi he ap logo ke liye,non-sarcastic
"ye desh kha ja raha hai, we are secularism",non-sarcastic
crying_face crying_face crying_face crying_face crying_face crying_face,non-sarcastic
kaahee loka keetee chaana vhideeo kaadhataata ..... naahee tara he bhangaara panaa laaja vaataayalaa paahije,sarcastic
Man he is a machine. So informative,non-sarcastic
nikal khebri jai shree ram folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands,non-sarcastic
https://youtu.be/i_Oi9Nlhjmc?si=miMW_Uf3jS_AieNF Already bol chuka is topic pe. Pehle research kro phir blame kro elvish k chelo,sarcastic
kuch bhi na karo + dar ke ma ka ___,non-sarcastic
Aur do kongres ko vote face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy lalchi log face_with_tears_of_joy face_with_tears_of_joy,sarcastic
jai shree ram triangular_flag triangular_flag triangular_flag,non-sarcastic
Cold drink cross_mark poldringe check_mark_button rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
bharat mata ki jay hind jay bharat,non-sarcastic
Bolo fire Jay Shri ram fire flag_in_hole,non-sarcastic
hiche kapade kaadhoona hilaa maanasaata sodaa,sarcastic
"kaba taka sarakaara kee aa.da me khaadava hokara ,sosala meediyaa me likhakara apane dharma kee rakshaa karoge bhaaiyo,mere sanaatanee bhaaiyo tyaaga binaa kucha sanbhava nahee hai jo bhee tumhaare dharma ke oopara vivaadita tippa.diyaa kare usako usakaa javaaba khuda do sarakaara ke bharose na baitho dekho ye saba banda ho jaayegaa",non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy vote k chkr me khtakht ho gya enka bhi..,sarcastic
case hona chahiye or manhani or vote khridne or janta ko gumrah krne pr,non-sarcastic
Dar ki Man ki chut rolling_on_the_floor_laughing,non-sarcastic
Heart touching cross_mark kidney touching check_mark_button,non-sarcastic
Kha se ate hai ye log enraged_face enraged_face enraged_face,sarcastic
kisi din iske bodyguard hi isko p#l denge moai,sarcastic
Ab kha Mr gaye mullee muliya ab kyu ni dikhre enke comment face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
nadarchodo ghar may ghus ke marenge,sarcastic
Oore oore Godi media ki gand me mirch lg gyi jbb kisi ke mandir msjid ke smne tumhe apne bgvn ki ydd aati h todte ho apna flag fahlate ho tbb ye media wale gand ghone jay rhte h face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
I don't care about anything but her voice smiling_face_with_heart-eyes,non-sarcastic
dar ki ma ki chut skull,non-sarcastic
Heart touching cross_mark Kidney touching video check_mark_button,sarcastic
koi admi hota to bat bhi hoti ab iske sath kya kre,sarcastic
waft hatao masjid hatao desh bacaho,sarcastic
Jay shree Ram fire fire fire fire,non-sarcastic
Toh hum bhi nahi bhulenge waha pahale ek ram mandir tha mullone giraya n fir bjp ne bnvaya ...me bhi apne bachhe ko bata ke jaunga face_with_tears_of_joy face_with_tears_of_joy,sarcastic
bhai tum nedia wale ho ya comedia wale ho,non-sarcastic
= do nothing darr ke age jeet hai,non-sarcastic
"1500 year old temple? Again, Islam was discovered in ?",sarcastic
aagar congress satta me a bi jati to bi financially ye possible nahi tha...par pata nahi ye log kab samjhenge.. congress kya koi bi party' esa nahi kar sakti barna desh ki economy barbad ho jayegi,non-sarcastic
tu randi ahe mhnun ass bolat ahe ka anty,non-sarcastic
Ye sab elvish jeetne par nhi bola gaya bc anchor,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
dar ki mat ki choot uncle be like,sarcastic
grinning_face_with_sweat crying_face crying_face crying_face crying_face crying_face face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing cross_mark cross_mark cross_mark rolling_on_the_floor_laughing,non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
Yar ye log ko koi or najar nhi ayga ye Pyar he shr monawar bhai se red_heart red_heart red_heart red_heart red_heart red_heart,non-sarcastic
"eendian government kya zak mar rahi hai, ek army force bhejne sabki akal thikane q nahi lagati enraged_face enraged_face",non-sarcastic
Le moot Diya tere dhruv rathee pe face_with_tears_of_joy,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy khata khat khata khat,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy bike powrr,non-sarcastic
8k ka hei dene ko kaha tha Bjp jaise nhi 1.2L dega face_with_tears_of_joy,sarcastic
maga too guvaahaateelaa paloona gelelyaa 40 aamadaaraanchee pahilee santaana aahesa,non-sarcastic
hama asalee hindoo he musalamaana se dare hue beejepee ke gulaama nahee,sarcastic
Sahi mein pajama hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
ye speed breaker atankwadi h skull,non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
aara krish 3 bankar a gain kya,non-sarcastic
skull check_mark_button skull cross_mark rolling_on_the_floor_laughing check_mark_button face_with_tears_of_joy cross_mark_button moai check_mark_button,non-sarcastic
Yaha koi Hindu nhi dikh rhe hai dekh lo face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Abe Pahila Yeh Bol Ki Bacche kitne hai face_with_tears_of_joy face_with_tears_of_joy Aur Vo Pakka Tere Hi Hai Na face_with_tears_of_joy face_with_tears_of_joy Halala ki Najayaz Aulad face_with_tears_of_joy,sarcastic
Dari hui kom darane ki baat kar rhi face_with_tears_of_joy rolling_on_the_floor_laughing,non-sarcastic
Dr ke ma ke chhut face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Wahhh kyaaa soch hai re teri face_with_open_mouth,sarcastic
nai aaaj se physics kbhi nhi pdunga,non-sarcastic
Bus kr apni bakwas face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
2012 me chief minister the Shelia dikshit,non-sarcastic
