Transliterated_Comment,sarcasm_label
Who tf likes these kind of reels,sarcastic
par dhruv our uska mawali gang ye sab nehi manenge sneezing_face,sarcastic
jhul mere lund pe moai moai moai,non-sarcastic
chalna chaman chutiye teku kuch nila nhi kiya,sarcastic
"bilkul eensha aallah hum aapni naslo ko btayenge ki kaise hamari nasjid shaheed ki gayi, bhaichara nahi chahiye hame kisi bhi hindu ka aallah hu aakbar index_pointing_up_light_skin_tone",sarcastic
dar ke age cross_mark dar ke age mauthe skull,non-sarcastic
"Kiv yete Uddhav hyanchi, satte sathi ashhya bai la sobat thevta",sarcastic
aaen mulo koto mar sal na chahi ae,non-sarcastic
eka thappa.da kaaphee hai hada men aa jaayengee,non-sarcastic
ek rapte m ma bahan sab nikl jata gand maray aise scooty,non-sarcastic
Dram game mai nhi hai fr Muslim constant lete hi kyun ho Nonsense,sarcastic
Ye wahi Dalal media wala hai jo 100 crore ki hafta wasooli mein jail gaya tha...iska sting video youtube par available hai. face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
#bocottshivsena. Deva baddal itka nich pana crying_face crying_face,non-sarcastic
eendia eendia eendia eendia eendia eendia,non-sarcastic
"Sorry uncle but galti apka he , maar Dena tha tabhi apko iss chapri ko crying_face",non-sarcastic
Joy shree ram red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart,non-sarcastic
nunawar ko jeeta dekh jo khush hai wo like kare red_heart,non-sarcastic
Tell me if this is a joke.,non-sarcastic
Chalta phirta Wikipedia red_heart fire face_with_tears_of_joy,non-sarcastic
may be next time dance naked ?,sarcastic
dekha ye 90 seet isliye yatra ke liye nhi paise k.liye ai hai,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat rolling_on_the_floor_laughing face_with_tears_of_joy,non-sarcastic
Jai shree ram red_heart fire raising_hands clapping_hands,non-sarcastic
aakeli bolungi toh vivad ho jayenga rolling_on_the_floor_laughing,non-sarcastic
This is my last reel waving_hand_light_skin_tone pensive_face,non-sarcastic
ai laka.dee kaahe pa.dee ho jhaa.da men; ghusa jaa hamaree gaa men | face_with_tears_of_joy,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
Jay shree ram fire red_heart fire,non-sarcastic
Bhagban ye sunne se pehle main mar kyu nahi gayi slightly_smiling_face proud to be a Hindu purple_heart dizzy,sarcastic
beta ye dar dikh raha h or dushman bol ri jara burkha hata kar bolo kal ghar par jcb chal jayga face_with_tears_of_joy,sarcastic
India India India enraged_face enraged_face enraged_face India India India,non-sarcastic
Bhai duniya ek matar chatamker mujasma hai yah pata nahe kon leta hoga issko face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Jay Shri Ram fire fire fire,non-sarcastic
Kaha hai wo chamche jo apne abbu ko jitaya face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Hindu rashtra banane wale nhi dikh rhe h aajkal? face_with_tears_of_joy 400 par ho gye? face_with_tears_of_joy,sarcastic
