Transliterated_Comment,sarcasm_label
chutiya sarkar bjp ki bani he bhadve modi ke dalal... face_with_tears_of_joy,non-sarcastic
aba jo kiraae se raha rahaa hai vaha kaama men jaakara kama kara khaa rahaa hai yaha saale khuda ke ghara men rahate hain phira bhee kaama men naheen jaa sakate phokata kee yojanaa dekhakara aura desha ko bhikhaaree banaa rahe ho paisaa bachegaa desha men tabhee to desha aage ba.dhegaa,non-sarcastic
Ab Kya khel khatam Paisa hajam face_with_tears_of_joy,sarcastic
"hyaa bhaashanaavara koneecha bhoomikaa naahee ghetalee. moorkha baaee 14 varsha seetaa maataa shree ramaanbarobaracha hotee. lankelaa kevala eka varsha hotee. aani he itakan galleechcha sanbhaashana tyaanchyaata kadheecha naahee jhaalan. he tumachan manogata aahe, svatahchyaa laayakeenusaara. hyaa ashyaa daridree dona takkyaa lokaanchaa saamoohika bahishkaara karoona tonda kaala karoona gaadhavaavara basavoona dhinda kaa naahee kaadhata kunee. hee aani to moorkha shiromanee jitendra aavhaada. akkarmaashee nusate",non-sarcastic
tatoo too acha banya lakin voo tatoo dekha gha kaha pura too kapda ma dhak jayagha,non-sarcastic
eendia eendia eendia eendia eendia eendia red_heart,non-sarcastic
nuslimon ko hi bharat mein nahi rehna chahiye,sarcastic
ekatee saapadalee paahije maga baagaa kaaya hota ichan,non-sarcastic
Backchodi mat kar laode mc face_with_tears_of_joy,sarcastic
kitna zerher ugal reha hey sirf lada ney ka kam kar reha hey,non-sarcastic
ha to bhai pahle padh liya kar aache se naam katwa nahi hu main face_with_tears_of_joy,sarcastic
jaba aukaata naheen hai kaara rakhane kee to mata rakhaa karo| tho.daa bahuta tacha hotaa rahataa hai,non-sarcastic
aarai gandai ghar ki pidayish hai. tatti shakal ki lag rahi hai anpar chapri sultanpuri ki bhikari larki. nu nahi laga good man,sarcastic
nalayk bai shabri 60 yr chi mhatari hoti,non-sarcastic
Isliye kehte hai bjp laao red_heart red_heart red_heart red_heart,sarcastic
"hilaa jhavale dukaraane, tonda ta bulalaa dilaa ghodyaane",non-sarcastic
to tu gand me ungli kiyu ki re pehle apna pura parichi deta na gandu bad me gata to asa nhi hota face_with_tears_of_joy,sarcastic
eesne hisab koi ek admi kharab hai to woh pura city hi kharab hai....,sarcastic
Matlab kya hai aapka agar Abhishek Jeet jata toh kya bo apne ghar apne jile me na jata yr tum middle class godi media face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Isko kmi hai abhi loodye ki face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy puri kro,sarcastic
eesi liye to modi ko 3 bar lana hai,sarcastic
aakele dhruv hi chamak rha hai,non-sarcastic
त्वरीत हिला जिवंत गाडलं पाहिजे angry_face angry_face angry_face angry_face,non-sarcastic
Ek humare pass bhi hai face_with_tears_of_joy,non-sarcastic
#boycot Dhruv Rathi cross_mark ye hain wo Kam padhe likhe log,non-sarcastic
bhai ne aaaj jyada hi pela kya,non-sarcastic
Bekwas law by bastard nehru face_with_tears_of_joy,sarcastic
Ye wahi news anchor hai na jo Tihar Jail ki hawa khayi hai face_with_tears_of_joy face_with_tears_of_joy,sarcastic
