Transliterated_Comment,sarcasm_label
inke gand too pehle jalegi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
isako paakistaanee saba vota kie honge.,non-sarcastic
ka sarkar bani ka loday anchor,sarcastic
Omg face_screaming_in_fear really today i felt proud to be Hindu folded_hands person_facepalming_light_skin_tone,sarcastic
All eyes on modi ji check_mark_button,non-sarcastic
yeh lagta hai ke nehru ke khabdan ke 40000 crore waqh board ko de kar 8.2 lakhs jammin wapas india ki honi chahiye face_with_tears_of_joy,non-sarcastic
Niwwal bhangar bhungar hi face_vomiting face_vomiting enraged_face enraged_face,non-sarcastic
OK_hand OK_hand OK_hand leg leg thumbs_down,non-sarcastic
5star sparkles dar ki maki c..... moai skull,sarcastic
Ni krna chahiye madarchod hai congress government crying_face,sarcastic
Father of Google red_heart red_heart red_heart,non-sarcastic
"bolanaa jarooree bhee hai, kyonki agara ye bolanaa banda kara diyaa to desha men shaanti ho jaayegee, phira hindoo raashtra aasaanee se bana jaayegaa, kintu taba utanaa majaa nahee aayegaa|",non-sarcastic
khara aahe he aayaghaalee aahe hee,sarcastic
bhai inke khilaaf action lo bhai,non-sarcastic
bahut galat bat hai kisi ki rozi roti hai wo kisi ka nukasn karna channd like follow ke liye gali lagegi tabhi road pe mare pade rehte hai byker baddua jo lagti hai ab apni bari ka intezar karle beta,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy garibo ki nhi tumhari hi sahayta hogi GARIBO ke liye Humare Prabhu Shree Ram hai triangular_flag triangular_flag triangular_flag triangular_flag,sarcastic
jali to jali bolo kiski g...d jali face_with_tears_of_joy face_with_tears_of_joy,sarcastic
eeske kokhse beta paida nhi honge...,sarcastic
Le lo khata khat 100000 rupye face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
nountain dew dark madarchod moai moai,non-sarcastic
nountain dew dar ki ma ki chut,non-sarcastic
Soch rhi hu main tray karu ek bar face_with_tears_of_joy,non-sarcastic
tere bap ne bhi to vada kiya tha use pesa ka kya hua skull_and_crossbones,sarcastic
beta khoob mele khatakhat khatakhat khatak lete raho khatakhat khatakhat,sarcastic
newton mar gya iss liye khuch bhi kar rahe ho,sarcastic
That is why we need modi Yogi fire fire enraged_face,sarcastic
in ko sarkar ne sar pr chada diya jeena hram kr rhi admiyo ka . kitni gali de rhi . avi 1 de diya bahi moot degi,sarcastic
randi sali bc layki nhi chinal chi,non-sarcastic
Jago mere Hindu bhaiyoooo enraged_face enraged_face enraged_face enraged_face enraged_face har har mahadev folded_hands folded_hands triangular_flag,non-sarcastic
If those guys have balls ..do such a rally in pakistan..none of them will be alive anymore face_with_tears_of_joy,sarcastic
Pagl hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Tum peda karo hm sb pr bulldozer chadate jayenge victory_hand,sarcastic
My excitement level: chart_increasing chart_decreasing chart_increasing chart_decreasing chart_increasing chart_decreasing chart_increasing chart_decreasing chart_increasing chart_decreasing chart_decreasing chart_decreasing,non-sarcastic
batee tum sb yahi kar sakte ho samne samne laroo fir bata de kon kha najar ata hai eendia,non-sarcastic
Mountain dew cross_mark_button Desi Daaru check_mark_button,non-sarcastic
Eat 5 star do nothing then mountain Dew dar ko jit lo face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
sir to fir ap ye news dikhake. t r p kiyu lut raheho tere muhse yebate achi nahi lagti dalali karne wala tera video dekhatha pure bharatne dalle,sarcastic
sahi hua sab chutiya thi hai aur yaisa hi hona chahiye,sarcastic
"He is just brainwashing by his videos to the 14-19 age group Kids who are not even mature enough. He is just manipulating, creates hate towards Honorable PM. NOTHING ELSE",non-sarcastic
face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth enraged_face enraged_face face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth,non-sarcastic
Waqf cross_mark what the fuck check_mark_button,non-sarcastic
wahh bjp kya logic hai face_with_tears_of_joy,sarcastic
tere bap ne to jeet kar bhi 15 lakh ni die,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy clapping_hands clapping_hands,non-sarcastic
triangular_flag sahee kahaa aapane ye yoopee vaale kisee hija.de se kama nahee aaja inhone saabita kara diyaa kee hindutva kucha nahee jo hai vo basa jaativaada hai dhanya ho uttara pradesha ke vaasiyon achchaa khela khelaa hai tuma sabane mila kara jisane apane aapako tumhaare lie samarpita kara diyaa tumane usakee peetha men vaara kiyaa aaja samajha me aayaa kee bhaarata me mugalon aura angrezon ne itane saala kaise raaja kiyaa aura pareshaana mata ho vahee dina tumhaaree aane vaalee nasle dekhengee aura eka baara phira se mugalon kee gulaamee karengee jaya shree raama triangular_flag,sarcastic
nafrat hi bulaenge yah media wale aur kya fal hai,sarcastic
आम्ही महिलांची इज्जत करतो. पण रांडाची नाय रांड आहे भडवी साली इच्या आईला घोड्या ने झवल होत वाटत म्हणून फाटक्या तोंडाची झाली साली ही आईझवाडी enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,sarcastic
Ullu banaya fatafat fatafat face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
नई गाड़ी में गाड़ी पेल दी इन्होंने face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
aura daॉgee kaangresa kaa borda bahuta hee achchaa lagaa 8500 milenge aura ayodhyaa vaalon apane bhee aapane bhee raahula gaandhee ko kaangresa ko akhilesha yaadava ko apane bhee vota die the aapa kyon naheen maangoge 8500 aapa bhee maango aura doosaree baara aba tumhaare vahaan para ayodhyaa aba koee bhee aaegaa naheen aapako to barbaadee karanaa hai chintaa mata karo sabaka to aapako logon ko milegaa kyonki aapa logon ne modee ko vota ne diyaa aapa saba logon kee niyata kharaaba hai koee bhee aapako phree men koee bhee cheeja dene lage to aapa use cheeja para laalacha aa jaate ho aapa kattara hindoo naheen ho bekaara ho hama loga to kattara hindoo hai jaba bhee hamen kaangresa ko akhilesha yaadava ko kejareevaala taka ko hamen borda ne diyaa modee ko hee bola diyaa hamen kisee cheeja kaa laalacha naheen hai hama jaya shree raama ko maanate hain aura jaya shree raama raadhe raadhe aapa logon se kyaa bole jaisaa karataa hai vaha vaisaa bharataa bhee hai aura tuma jaise bharo face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy aura phree ke laalacha ke chakkara men 8500 naheen milenge aura mila jaae to akaaunta men echadee kara denaa aapako intaresta jyaadaa milegaa face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy jaya shree raama raadheraadhe fire fire fire fire fire,sarcastic
tabhee kahu neeche se kaata kara topee oopara kyoo lagaane lage bkl face_with_tears_of_joy,sarcastic
कभी हेल्थ एजुकेशन और रोजगार पे बात कर लिया होता face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
hindu kabhi nahi jag sakta ye sab jante hai isliye ye log itni himmat kar sakte hai,non-sarcastic
teri aulat bhi hai kya ?,non-sarcastic
jab babri masjid gyi no to nahi dikhi tum sab ko,sarcastic
Paglachoda sala face_with_tears_of_joy bengali like here !!,sarcastic
Tum log bus bolate hi rahoge kuchh kar nahin paoge face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
dhruv rathi ki mkb buttoon >>>>>>>>>,sarcastic
dhruw rathi ladchat hai ek no ka skull middle_finger,non-sarcastic
dar ki ma ki ch* t moai,sarcastic
Hum fir builder chlwe ge face_with_tears_of_joy,sarcastic
aab yogi sarkar kaha gay iske liye,non-sarcastic
Positive news converted to Negative news because A Muslim boy won the Big Boss show... Gooobhakt Sadme m,sarcastic
Aapne bete ko ye bhi bata dena beta hum kuch ukad bhi nhi paye face_with_tears_of_joy,sarcastic
70 rupay ka paua hai ka asar rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing,sarcastic
hone wali biwi biwi h apki ye ghungath me,sarcastic
bhai plz faltu ki bate nt fehlou,non-sarcastic
Heart touching video cross_mark kidney touching video check_mark_button,sarcastic
ye takla chutiya hai bss rota rehta h,non-sarcastic
Cheni kheni laga rakhi hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Dar ke ma ke c... face_with_tears_of_joy,non-sarcastic
German shepherd dog dog rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
Bhench*d song is owned by star_and_crescent,non-sarcastic
aapril fool banaya. oonko bada maja aya,non-sarcastic
sarkar bana nahi banne do fir ana,sarcastic
Jai shree ram red_heart red_heart red_heart,non-sarcastic
Tuze kya pata hota hai history sikhle se face_with_tears_of_joy face_with_tears_of_joy,sarcastic
raॉyaltee gaee maan kee abe chutiyaa tho.daa naॉleja rakho,sarcastic
kas zalay: Dhun**nat shengdana aan deshbhar dhingana ! face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Are yr ise tihad me chor aao face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
lavdya gandila khaj a ahe tujhya,non-sarcastic
or manya surve bhi unke maya ye sab log sath k hai,non-sarcastic
Apke Marne se pehele wapis bna denge babri masjid inshaallah palms_up_together,sarcastic
Aree garv se bolri hai muh chipakr......rehndo inka allah jis din face reveal krega tb sunengi inki eyes,sarcastic
Sarkar banne do news wale chutya cross_mark,sarcastic
pata chala kabhi koi masjid ke neeche eenka kabr mil gaya face_with_tears_of_joy,sarcastic
aabe chutiya anchor sarkar mai kaha ayi congress ?,sarcastic
ina saalo ko meediyaa me kauna bhartee kartaa hai yaara aise loga desha ko bechate hai,sarcastic
पंटुया मिलेगा rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
aab humlogo ko sir kalam karna padega tab sikhega sab koi bhi ho hindu ke bare me ek labj bolega tab sirkalm kar diya jayega,non-sarcastic
punjabis in india dont want khalistan. eh bahr baithe vehlia marde bas,non-sarcastic
aare lekin chintu to dhruvv bhai ki video dekh ke khud ko informative samajhta tha skull,sarcastic
kaangresa mukta bhaarata ko.dha mukta bhaarata ( yahaa.n maine ko.dha ko.dha kee beemaaree ke lie naheen likhaa hai),sarcastic
Gravity Gaya ma chuda ne clown_face,non-sarcastic
Isly congres mc h face_with_tears_of_joy face_with_tears_of_joy,sarcastic
aare toojhaa video bagoona vaatato toojhaayaa gaa~ne madale ki~ne gele naahee aajoona ma,non-sarcastic
gold medal meli ga face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy running me aunty ko,sarcastic
"jo apane hee desha kaa apamaana karataa hain ,,, use duniyaa.n kaa hara desha hiqaarata kee najaron se hee dekhegaa ,,,,, ye rupayon ke lie vahaan jaate hain magara inakee ijjata rattee bhara bhee nahee vahaa.n",non-sarcastic
es liye ladke kisi kisi bahane ladki ko phle pel dete h esi koi ghatna aange na ho paye... face_with_tears_of_joy,non-sarcastic
Nehru has done terrible things to India,non-sarcastic
