Transliterated_Comment,sarcasm_label
teri ma de shole ch lun,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
सुअर बना के पेलूंगा cucumber face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
tum kisi ko muh tk dikhane kayak ban jao pehle raising_hands folded_hands om,sarcastic
eeshka deposit he japt karwa du,non-sarcastic
ye haram ka khane wale ek hi koom ke h,sarcastic
binaa kandoma kee naajaayaja hain paidaasa,non-sarcastic
Nich baii aahe hi... hila comments dya read karayla raising_hands,non-sarcastic
godee meediyaa kaa draamaa chaaloo ho gayaa pahale pooree baata jaana lo phira nyooja pe dikhaayo,non-sarcastic
"hilaa 5 mina kona naaya bhetalaa tara shipaaee sobata suroo honaaree hee baaee, hilaa kaaya samajanaara raanda saalee",sarcastic
aaga hat 5 paise wali randi,sarcastic
bhai ne gadi ne gadi me nahi pela bhai ne gadi me pel diya face_with_tears_of_joy,sarcastic
Gali dene aaya thaa face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
"ye log equality ki bat karte hai face_with_tears_of_joy , jab mandir se tax liya jada hai to unse bhi lena chahiye yehi dekha ta hai congress",sarcastic
Newton be like -be hamne ese hi apne hair uda die face_with_tears_of_joy face_with_tears_of_joy,sarcastic
sushamaa andhaare tu yaa naavaa saarakhee naahi tu yadee bhon bho aahesa kenvhaa |sudarashalee,non-sarcastic
नवरा तिंथ तु हितं.... तुझं गार गार होल बार बार कोण मारत होतं..... face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
bhai tu bahut maja leta he sabki face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
es par case hona chahiye. es prakar sanatan kajak. nahi utha sakta koi,non-sarcastic
I was waiting for his legs to get...... Yeah skull,non-sarcastic
Mountain dew cross_mark Desi paua check_mark_button,non-sarcastic
najhub 1400 sal purana aur 1500 sal purana mandir allah ka wah,non-sarcastic
jaya shree raama meraa samarthana bhaajapaa sarakaara aba to thagabandhana mukta bhaarata honaa hee chaahie,sarcastic
5 star + mountain dew = dar ki ma ka bhosda skull,non-sarcastic
Sahi to hai... face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
bharat ke sanatni hinduo ka jameer mar chuka hai jo apne dharm ka apmna karne bale kobhi vote karte hai,non-sarcastic
hilaa budhavaara petheta kandoma dhuvaayalaa thevaa,sarcastic
isiliye kisee mahaana shaayara kahaa thaa. ye lakadee kyoo padee ho jhaadan main gusajaa meree g**d main face_with_tears_of_joy face_with_tears_of_joy,sarcastic
ise pahale 10 dina andara daalo eeskaa ra.cpa utara jaayegaa jyaadaa naheen basa 10 deena raising_hands face_with_tears_of_joy,sarcastic
Perfect definition of behenchod face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Gaining respect bro as gujrati man,non-sarcastic
crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face,non-sarcastic
eski ga----d me petrol pad gaya hai,sarcastic
Gravity me slow motion Fattar he unity ji ka speed he face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Yah desh ham sabhi ka gai yha par ham sabhi ijjat se rah sakte hai crying_face crying_face crying_face,non-sarcastic
Dhruv rathi German shepherd money-mouth_face money-mouth_face bone bone bone bone,non-sarcastic
aacha ladkiya gali deti hai to lgta hai ye taqatwar ho gyi hai ak tamaachaa kaana ke neeche pa.degaa naa saaree ainthana ghusa jaayegee,non-sarcastic
Mountain dew cross_mark tumbler_glass tumbler_glass check_mark_button,non-sarcastic
DHRUV RATHEE 9TH FAIL KI MKC skull face_with_tears_of_joy,non-sarcastic
Yah sab chhodo Aaj pata hai kya hua meri Maggi mein 2 masale ke packet nikle face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
sahi bole owesi sahab kyuki agar tumharai mandir ko tor ke waha masjid bana de jay to tum bhul jaoge na ......,sarcastic
Mullo ko ullu banaya hai face_with_tears_of_joy face_with_tears_of_joy,sarcastic
aba yahaan bakchoda karane se kucha naheen hogaa jaba vota denaa thaa taba peeche rahe to bhugato,sarcastic
tu 64 per apna number laga ker rakh kabhi na kabhi miss call mar dega teri,sarcastic
galti iski bhi nahi hai agar iske bap ne paihna hota to ye din nahi dekhna padta isse kahte hai fate nirod ki paidais,non-sarcastic
"aise hee abhee taka 70 saala, kaangresa ne gareeba dalita picha.dee prajaa ko ulloo banaakara raaja kiyaa thaa| inako baragalaane kaa kaama kiyaa, aba yaha chalane vaalaa naheen hai| aisaa koee bachaa naheen jisako kaangresa ne thagaa naheen| samajha jaao hindustaana vaalon| inase kucha ho naa paayegaa, sirpha jhootha jhootha phailaane kaa kaama karate hain|| enraged_face crying_face rolling_on_the_floor_laughing face_with_tears_of_joy",sarcastic
sharam kro hindostan ch paida ho k jhanday da apman kr rahe,sarcastic
"chinaala raanda gaava jhavaadee, too puchee vaatata sutalee aaeeghaale mhanoona sagale tashe nasataata...",sarcastic
Et bhi entajar kr rahi thi ki kab tum bache ko uthao to Mai niche giru face_with_tears_of_joy,non-sarcastic
Good job Dhruv rathee bhai red_heart red_heart,non-sarcastic
"Bhai news channel pe case karde, mental abuse, misleading and defaming",sarcastic
aarey jaanwaro usne pn banne ke bad aaisa karne ka kaha tha,non-sarcastic
हिन्दू cross_mark हिजड़े है यूपी वाले check_mark_button,sarcastic
"""Everyone please support DIGITAL SATYAGRAH for the justice in NEET 2024 scam and file the RTI folded_hands",non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy clapping_hands clapping_hands,non-sarcastic
rohaniyaa aura bangalaa deshee muslimo se ise kandoma kee aadata pa.da gaee hai enraged_face raakshasee mamataa baano kee chelee hai enraged_face,non-sarcastic
Cameraman is also take the combination of do nothing mountain dew,non-sarcastic
"ye bada mahan hain esko vote check_box_with_check dekar aor mahan nhi bnana,,, esko eski sahi jagah dikhao ab,,, jis thali me kha raha usi ko nast krdega ye fire fire jay shri ram",non-sarcastic
oosaata paidaa jhaalelee olaada aahe hi kitee janaachee aahe,sarcastic
Iske kitne baap face_with_tears_of_joy no_one_under_eighteen fast-forward_button fast-forward_button,sarcastic
aabe sale bjp ko vote dene se tum hindu bnoge,sarcastic
sarkar bante hi ear sarkar to bjp ki bani naki congress,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Proud to be Muslim fire lkn yh shyd pgl ho gia hai behnchod kuch b bolty hain astagfirullah,non-sarcastic
Isliye Dogala Kaha Jata Hain Congress Ko check_mark_button enraged_face,sarcastic
I am not understanding why the admin is asking to Godi media or YouTubers on contents they don't do or news they don't cover.... Respect for the lady red_heart,non-sarcastic
tumhare abbu bhi kch ni krpaye tu bhi kch ni krpayega,non-sarcastic
isako chhod dene ke liye raising_hands,non-sarcastic
Kyu gaand me ungli kr rha he apni face_with_tears_of_joy face_with_tears_of_joy,sarcastic
cross_mark cross_mark cross_mark cross_mark cross_mark cross_mark cross_mark cross_mark cross_mark cross_mark cross_mark cross_mark enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy smiling_face_with_heart-eyes face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
jaya jaya shree raama triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag folded_hands,non-sarcastic
पोरगी शिकली प्रगती झाली face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
cross_mark cross_mark cross_mark cross_mark cross_mark cross_mark enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face high-heeled_shoe high-heeled_shoe high-heeled_shoe high-heeled_shoe high-heeled_shoe high-heeled_shoe high-heeled_shoe high-heeled_shoe high-heeled_shoe high-heeled_shoe high-heeled_shoe high-heeled_shoe high-heeled_shoe high-heeled_shoe,sarcastic
sala ye bharat ko duba ke rahenge black_heart,non-sarcastic
येदभोकाची डेंगनी face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth,sarcastic
tera kal 2 months ke aandar dekh tera jlhal,sarcastic
