Transliterated_Comment,sarcasm_label
naderchod khalistani ki ma ka bhosda face_with_tears_of_joy,sarcastic
Sabse badi baat liquor scam ka matter Congress raise ki thi naki bjp face_with_tears_of_joy,non-sarcastic
Nehru Teri ma ka bosda face_with_tears_of_joy,sarcastic
Heart Kidney fefda Sab touching vdo face_with_tears_of_joy,non-sarcastic
Isko katke jla do enraged_face enraged_face enraged_face enraged_face enraged_face nash hone wala h ab inka,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy shi hua ye isi Layak h,sarcastic
aabe adha video kiun dalte ho,sarcastic
Gravity ka law fail ho gaya inke agee face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Jiski ma chudni thi wo tho bacch gya kaise wo v bike hoke face_with_tears_of_joy,non-sarcastic
tu kaa raavanaabarobara geleesa kaa ga sooshame tulaa raavana laagalaakaa sushame jaraa toda sabhaala tulaa aajita daadaa barobara karateela ga,non-sarcastic
q denge wo jit tu bjp na unse hi lelo 8hazar lalchi log,non-sarcastic
pappu kaha tak pura kare vada janta itne bhikmaigi hai..jara sa bada hua nhi pahuch gai,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing check_mark_button,non-sarcastic
bhosdi wale masjid se pahle to hamara mandir tha,non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
Interview with music face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Jai Shri Ram red_heart red_heart red_heart red_heart,non-sarcastic
chutiya banaya hai tum logo ko rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
"यूपी वाले हिजड़े है fire अयोध्या वाले नमक हराम, देशद्रोही fire fire crying_face check_mark_button",sarcastic
Eat fivestar do nothing cross_mark dew mountain,non-sarcastic
Open nhi karni h baat face_with_tears_of_joy,non-sarcastic
kia chutiya admi hai ye kuch bhi,non-sarcastic
"aagar iske bap ne uska upyog kiya hota to, aj unhe bejjat nhi hona padta",non-sarcastic
This news is the biggest proof k kitna dharm nirpakshit desh horha hai. Uncle khud legye dharm or yakub or dawood or kaha kaha. IKyuki dongri wale toh insan nhi inke nazar me. Uncle get a life. If abhishek had won i really wish he did but if abhishek had won toh uncle yha khde rehke chillam pukar krty ?? Jeeta wo tklif nhi h inhe muslim h or jeetgya wo tklif h.,sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
bina jane ki waha kya hua koi faisla mat karo bhai log,non-sarcastic
He can eat 8574785×755747898587 dhruv rathi in dinner face_with_tears_of_joy,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing fire fire crying_face crying_face enraged_face,non-sarcastic
"ha krte h madrchod teri tr nhi ,teri baki h nasbandi jldi hi hogi teri bi",non-sarcastic
Respect for her such a courageous lady red_heart,non-sarcastic
mountsindew Dar Kee Mai Ki choo,non-sarcastic
Abeee ek mahina too hone dooo rolling_on_the_floor_laughing sabar karooo bheno face_with_tears_of_joy,sarcastic
nu chhupa kr kyu bol rahi ho didi darr gai kya,non-sarcastic
ek bar ni bar bar lagatar hajar bar bolenge ham hindu hai kattar hindu triangular_flag red_heart tulip,sarcastic
check_mark_button dar ki maa ki rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
5 star kuchh na karke dekho check_mark_button ek nansingh ji dar ki man ki chut check_mark_button,sarcastic
Sare mullo ka moye moye ho gaya face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
पुचि वाटप करत कार्य करते जमा केली हे चीनाल face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
hizde vo h jo bjp ko vote dete hai ayodhya balo ne vote kam par dia h na ki bhgabna par,non-sarcastic
bap the bap hai aur bap rahenge,non-sarcastic
Bhai up wale sab to nhi lekin tum ho hijde face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Another reason why India is not for beginners check_mark_button,sarcastic
Gravity ki to koi value hi nh hai smiling_face_with_tear,non-sarcastic
sab se bada atankwadi to tu hai,non-sarcastic
Jay Shri Ram ji flexed_biceps flexed_biceps,non-sarcastic
Ye gajab bakchodi haii face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
ye sb humse kab milenge mil gye n dubara nhi humse milege,sarcastic
eesko or kuchh dikhayi nehi deta,non-sarcastic
eechyaa maayalaa aurangyaa jhavalaa hotaa mhanoona hee chinaalakee karate enraged_face enraged_face,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
ye chotiya hai burri chiz bure log ka bolra hai ab jo accha hura hai uski tarif ka jahil,sarcastic
Chwl sarkar kitho degi ine pase face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
बस बोंबलत आता हे अस झाल तुझ संडासला गेलो खर गांड न धुता घरला आलो face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Teri ma to bol Rahi thi Mera bachha nahi hai face_with_tears_of_joy,sarcastic
Teri maa ki choo rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
jalane vaalo ki duvaa manaavara bhaaee aage badhate raaho bhagavaana aapake saatha hai,non-sarcastic
jay shri ram folded_hands folded_hands folded_hands,non-sarcastic
Ye Bahan ke lode or simply chal Rahe logo ko bhi pareshan krte h,non-sarcastic
Tyani ushti bor Khali tu tr Nako tekhatis face_with_tears_of_joy,non-sarcastic
eelaa ghaana shivyaa deoona shivyaa chaa aapamaana karaayalaa na ko vaatata,sarcastic
dekh lena congress vote dene ka natija ab ghumo tab tak ke pass,sarcastic
Isliye bolate bhosdi ke paise ke piche vote mat do Congress chor Hai pahle se face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
nodi mere laude per hai tera,sarcastic
Lakin Munwar Ko Modi Ji Ki place se hai ba Gujarat Se face_with_tears_of_joy,non-sarcastic
देश का बजट ४० लाख करोड़ है और देश कि अंदाजन महीला ६५ लाख होगी.. तो १ लाख साल का देना हो गा तो ६५ लाख करोड़ रूपये लगेगें rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing यूवावो का गिना नहीं rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
चुतीया बनाया तुमको face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
aare hi aadheecha raanda aahe heechee lanketa kunee haanalee,non-sarcastic
nehru ne barbad kar diya bhart ko,non-sarcastic
Do nothing cross_mark dar ki maaki chuu finding check_mark_button,non-sarcastic
Allha hu akbar face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face chapaleenan haanalan paaheeje ashaanaan,sarcastic
nunawar ko hindu muslim dono ne vote kiya he,non-sarcastic
Camera man never dies check_mark_button face_with_tears_of_joy,non-sarcastic
Kuch nah krke bhi dekho darr ke aage jeet hain face_with_tears_of_joy,non-sarcastic
Tik tok is getting alive grinning_face_with_sweat rolling_on_the_floor_laughing,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
isalie emapee men kaangresa kaa saphaayaa ho gayaa khataakhata fire fire,non-sarcastic
katoraa le lo khaane ke kaama katoraa le lo haatha men nahaane ke kaama bhee aaegaa khaane ke kaama bhee aaegaa peene ke kaama bhee aaegaa aura maangane ke kaama bhee aaegaa,non-sarcastic
Khata khat khata khat rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
google se panga nhi lene ka skull,non-sarcastic
"haa pana tyaacha pravrritteechaan disatoya, yaachee gaadee palatee karaa",non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
"ghar bada nhi, bikhari pahle a jate hai... sala tax hame bhare aur garibo ke nam pe paisa bata ja rha hai.. fukat mein",sarcastic
"संजय रावत पागल हो गया है face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy ,",non-sarcastic
चमचे दिख नही रहे है BKL clown_face clown_face moai moai,sarcastic
Ab smj aarha h..Why education is important,non-sarcastic
bus itni hi aukat hai aur kisi chiz me desh ko age nhi le ja sakte,non-sarcastic
oottar ramayan he asa konta granthach naiye.....he congress ne banavlela shadyantra ahe ....ani tumhi ramayanatla na sangta uttar ramayanatla sanagt ahat madam slightly_smiling_face,sarcastic
Bro woke up and chose violence skull,non-sarcastic
aagar nodi ne ram nandir ki jagah babri nasjid banai hoti hai aj pure ke pure nusalman usko vote dete hain ek gaddar hindu nahin,sarcastic
tusi v number dsdo leest da,non-sarcastic
"arrey bhai kinko smja rhhe ho ,, jinhe yh ni pta k sex biwi k sath krte h na ki ma aur behen k sath unko itna gyan kaha se hazam hoga bhai raising_hands",sarcastic
